n	gm0	gm2
1	0.00307824	-1.97534
2	0.0123129	-1.97523
3	0.027704	-1.97503
4	0.0492515	-1.97479
5	0.0769553	-1.97454
6	0.110815	-1.97434
7	0.150831	-1.97422
8	0.197003	-0.00176513
9	0.249331	0.0118027
10	0.307814	0.0343921
11	0.372453	0.0659086
12	0.443246	0.106233
13	0.520195	0.155215
14	0.603298	0.21257
15	0.692555	0.284151
16	0.787967	0.35294
17	0.889532	0.434877
18	0.99725	0.524871
19	1.11112	0.622623
20	1.23114	0.727963
21	1.35732	0.84073
22	1.48965	0.960609
23	1.62812	1.09207
24	1.77275	1.22276
25	1.92353	1.36398
26	2.08046	1.51232
27	2.24353	1.66755
28	2.41276	1.82956
29	2.58813	1.99827
30	2.76965	2.17336
31	2.95732	2.3582
32	3.15113	2.54461
33	3.35108	2.73948
34	3.55718	2.94103
35	3.76943	3.1491
36	3.98781	3.3636
37	4.21234	3.58449
38	4.44301	3.81147
39	4.67982	4.04693
40	4.92277	4.28586
41	5.17186	4.53199
42	5.42708	4.78458
43	5.68844	5.0435
44	5.95594	5.30871
45	6.22957	5.58018
46	6.50933	5.85764
47	6.79523	6.14269
48	7.08726	6.43247
49	7.38542	6.72881
50	7.68971	7.03145
51	8.00013	7.34034
52	8.31667	7.65544
53	8.63934	7.97674
54	8.96814	8.30402
55	9.30305	8.63828
56	9.64409	8.978
57	9.99126	9.32399
58	10.3445	9.67619
59	10.7039	10.0346
60	11.0695	10.3991
61	11.4411	10.7699
62	11.8188	11.1466
63	12.2027	11.5299
64	12.5927	11.919
65	12.9888	12.3143
66	13.3909	12.7158
67	13.7992	13.1234
68	14.2136	13.5371
69	14.6342	13.957
70	15.0608	14.3829
71	15.4935	14.8151
72	15.9323	15.2534
73	16.3772	15.6977
74	16.8282	16.1482
75	17.2853	16.6048
76	17.7485	17.0675
77	18.2178	17.5363
78	18.6932	18.0112
79	19.1746	18.4923
80	19.6622	18.9794
81	20.1558	19.4727
82	20.6555	19.972
83	21.1613	20.4774
84	21.6732	20.989
85	22.1912	21.5066
86	22.7152	22.0302
87	23.2453	22.56
88	23.7815	23.0959
89	24.3237	23.6378
90	24.872	24.1858
91	25.4264	24.7399
92	25.9868	25.3001
93	26.5533	25.8663
94	27.1259	26.4386
95	27.7045	27.017
96	28.2892	27.6014
97	28.8799	28.1919
98	29.4767	28.7884
99	30.0795	29.391
100	30.6883	29.9997
