gm	numerical	variational
0.01	0.0461732	1.24999e-09
0.02	0.0461769	2e-08
0.03	0.0461832	1.0125e-07
0.04	0.0461919	3.2e-07
0.05	0.0462032	7.8125e-07
0.06	0.046217	1.62e-06
0.07	0.0462333	3.00125e-06
0.08	0.0462522	5.12e-06
0.09	0.0462737	8.20125e-06
0.1	0.0462977	1.25e-05
0.11	0.0463244	1.83012e-05
0.12	0.0463538	2.592e-05
0.13	0.0463858	3.57012e-05
0.14	0.0464206	4.802e-05
0.15	0.0464581	6.32812e-05
0.16	0.0464984	8.192e-05
0.17	0.0465416	0.000104401
0.18	0.0465877	0.00013122
0.19	0.0466367	0.000162901
0.2	0.0466887	0.0002
0.21	0.0467438	0.000243101
0.22	0.046802	0.00029282
0.23	0.0468634	0.000349801
0.24	0.0469281	0.000414719
0.25	0.0469961	0.00048828
0.26	0.0470675	0.000571219
0.27	0.0471425	0.000664299
0.28	0.047221	0.000768318
0.29	0.0473033	0.000884098
0.3	0.0473894	0.0010125
0.31	0.0474794	0.0011544
0.32	0.0475734	0.00131071
0.33	0.0476716	0.00148239
0.34	0.0477742	0.00167041
0.35	0.0478811	0.00187577
0.36	0.0479927	0.0020995
0.37	0.048109	0.00234268
0.38	0.0482302	0.00260639
0.39	0.0483565	0.00289177
0.4	0.0484881	0.00319996
0.41	0.0486252	0.00353215
0.42	0.048768	0.00388956
0.43	0.0489168	0.00427343
0.44	0.0490717	0.00468503
0.45	0.0492331	0.00512568
0.46	0.0494012	0.00559669
0.47	0.0495763	0.00609945
0.48	0.0497588	0.00663534
0.49	0.0499489	0.00720579
0.5	0.050147	0.00781226
0.51	0.0503535	0.00845622
0.52	0.0505688	0.00913919
0.53	0.0507933	0.00986271
0.54	0.0510276	0.0106284
0.55	0.051272	0.0114378
0.56	0.0515272	0.0122925
0.57	0.0517937	0.0131943
0.58	0.0520722	0.0141448
0.59	0.0523632	0.0151458
0.6	0.0526676	0.016199
0.61	0.052986	0.0173061
0.62	0.0533193	0.0184691
0.63	0.0536684	0.0196897
0.64	0.0540342	0.0209698
0.65	0.0544521	0.0223113
0.66	0.0548247	0.0237162
0.67	0.0552849	0.0251864
0.68	0.0557353	0.0267239
0.69	0.0562074	0.0283307
0.7	0.0567045	0.0300089
0.71	0.0572282	0.0317606
0.72	0.0577805	0.0335878
0.73	0.0583635	0.0354928
0.74	0.0589793	0.0374776
0.75	0.0596305	0.0395445
0.76	0.0603196	0.0416958
0.77	0.0610497	0.0439336
0.78	0.0618238	0.0462603
0.79	0.0626454	0.0486781
0.8	0.0635184	0.0511895
0.81	0.0644467	0.0537968
0.82	0.0655146	0.0565025
0.83	0.066583	0.0593088
0.84	0.0677181	0.0622184
0.85	0.0689302	0.0652338
0.86	0.070226	0.0683573
0.87	0.0716124	0.0715917
0.88	0.0730971	0.0749395
0.89	0.0746879	0.0784032
0.9	0.0764957	0.0819856
0.91	0.0783451	0.0856894
0.92	0.0803235	0.0895171
0.93	0.082447	0.0934716
0.94	0.0847266	0.0975556
0.95	0.0871734	0.101772
0.96	0.0897986	0.106123
0.97	0.0927417	0.110613
0.98	0.0957789	0.115243
0.99	0.0990215	0.120017
1	0.102487	0.124938
1.01	0.106187	0.130008
1.02	0.11013	0.135231
1.03	0.114324	0.14061
1.04	0.118776	0.146147
1.05	0.123495	0.151846
1.06	0.128646	0.15771
1.07	0.133925	0.163742
1.08	0.139474	0.169946
1.09	0.145303	0.176323
1.1	0.151414	0.182879
1.11	0.157809	0.189615
1.12	0.164486	0.196536
1.13	0.171447	0.203643
1.14	0.17869	0.210942
1.15	0.186214	0.218435
1.16	0.194017	0.226126
1.17	0.202098	0.234017
1.18	0.210457	0.242113
1.19	0.21909	0.250417
1.2	0.227996	0.258932
1.21	0.237174	0.267662
1.22	0.246622	0.276611
1.23	0.256338	0.285782
1.24	0.266323	0.295179
1.25	0.276573	0.304805
1.26	0.287089	0.314664
1.27	0.29787	0.324759
1.28	0.308915	0.335096
1.29	0.320223	0.345676
1.3	0.331796	0.356505
1.31	0.343632	0.367585
1.32	0.355733	0.378921
1.33	0.368099	0.390517
1.34	0.38073	0.402376
1.35	0.393629	0.414502
1.36	0.406795	0.4269
1.37	0.420231	0.439572
1.38	0.433938	0.452524
1.39	0.447918	0.46576
1.4	0.462173	0.479282
1.41	0.476707	0.493097
1.42	0.49152	0.507206
1.43	0.506616	0.521615
1.44	0.521997	0.536328
1.45	0.537668	0.551349
1.46	0.55363	0.566682
1.47	0.569888	0.582332
1.48	0.586444	0.598302
1.49	0.603302	0.614597
1.5	0.620467	0.631221
1.51	0.637942	0.648179
1.52	0.655731	0.665475
1.53	0.673838	0.683113
1.54	0.692267	0.701098
1.55	0.711023	0.719434
1.56	0.73011	0.738126
1.57	0.749533	0.757177
1.58	0.769295	0.776594
1.59	0.789403	0.796379
1.6	0.809859	0.816538
1.61	0.83067	0.837076
1.62	0.85184	0.857996
1.63	0.873374	0.879303
1.64	0.895276	0.901003
1.65	0.917552	0.923099
1.66	0.940206	0.945597
1.67	0.963244	0.968501
1.68	0.986671	0.991816
1.69	1.01049	1.01555
1.7	1.03471	1.0397
1.71	1.05933	1.06427
1.72	1.08437	1.08928
1.73	1.10981	1.11472
1.74	1.13568	1.1406
1.75	1.16197	1.16693
1.76	1.18869	1.1937
1.77	1.21584	1.22093
1.78	1.24344	1.24862
1.79	1.27148	1.27678
1.8	1.29997	1.3054
1.81	1.32892	1.3345
1.82	1.35832	1.36408
1.83	1.3882	1.39414
1.84	1.41854	1.42469
1.85	1.44937	1.45573
1.86	1.48067	1.48728
1.87	1.51246	1.51933
1.88	1.54475	1.55189
1.89	1.57753	1.58497
1.9	1.61081	1.61856
1.91	1.6446	1.65269
1.92	1.67891	1.68734
1.93	1.71373	1.72253
1.94	1.74908	1.75826
1.95	1.78496	1.79453
1.96	1.82137	1.83136
1.97	1.85832	1.86875
1.98	1.89581	1.9067
1.99	1.93386	1.94521
2	1.97246	1.9843
2.01	2.01162	2.02397
2.02	2.05134	2.06422
2.03	2.09164	2.10506
2.04	2.13251	2.1465
2.05	2.17396	2.18854
2.06	2.216	2.23118
2.07	2.25863	2.27443
2.08	2.30186	2.3183
2.09	2.34568	2.36279
2.1	2.39012	2.40791
2.11	2.43516	2.45366
2.12	2.48083	2.50005
2.13	2.52711	2.54709
2.14	2.57403	2.59477
2.15	2.62157	2.64311
2.16	2.66975	2.69211
2.17	2.71858	2.74177
2.18	2.76806	2.79211
2.19	2.81818	2.84313
2.2	2.86897	2.89483
2.21	2.92042	2.94721
2.22	2.97254	3.00029
2.23	3.02533	3.05408
2.24	3.0788	3.10856
2.25	3.13295	3.16376
2.26	3.1878	3.21968
2.27	3.24334	3.27632
2.28	3.29957	3.33368
2.29	3.35652	3.39178
2.3	3.41417	3.45062
2.31	3.47253	3.51021
2.32	3.53162	3.57054
2.33	3.59143	3.63164
2.34	3.65197	3.69349
2.35	3.71325	3.75612
2.36	3.77527	3.81951
2.37	3.83803	3.88369
2.38	3.90154	3.94865
2.39	3.96581	4.01441
2.4	4.03084	4.08096
2.41	4.09663	4.14831
2.42	4.16319	4.21647
2.43	4.23053	4.28545
2.44	4.29865	4.35524
2.45	4.36756	4.42587
2.46	4.43725	4.49732
2.47	4.50775	4.56961
2.48	4.57904	4.64274
2.49	4.65114	4.71672
2.5	4.72405	4.79156
2.51	4.79777	4.86726
2.52	4.87231	4.94382
2.53	4.94768	5.02125
2.54	5.02389	5.09956
2.55	5.10092	5.17876
2.56	5.1788	5.25884
2.57	5.25752	5.33982
2.58	5.33709	5.4217
2.59	5.41751	5.50448
2.6	5.4988	5.58818
2.61	5.58095	5.6728
2.62	5.66397	5.75834
2.63	5.74786	5.8448
2.64	5.83263	5.93221
2.65	5.91829	6.02055
2.66	6.00483	6.10984
2.67	6.09227	6.20008
2.68	6.18061	6.29128
2.69	6.26985	6.38344
2.7	6.35999	6.47657
2.71	6.45105	6.57068
2.72	6.54302	6.66577
2.73	6.63592	6.76184
2.74	6.72974	6.85891
2.75	6.82449	6.95697
2.76	6.92018	7.05604
2.77	7.01681	7.15611
2.78	7.11438	7.2572
2.79	7.2129	7.35931
2.8	7.31238	7.46245
2.81	7.41281	7.56661
2.82	7.51421	7.67182
