x	psi1	psi2	psi3	rho1	rho2	rho3
-24.9756	4.37694e-12	0.14	0.21	0	0	0
-24.9512	4.37694e-12	0.14	0.21	0	0	0
-24.9268	4.37694e-12	0.14	0.21	0	0	0
-24.9023	4.37694e-12	0.14	0.21	0	0	0
-24.8779	4.37694e-12	0.14	0.21	0	0	0
-24.8535	4.37694e-12	0.14	0.21	0	0	0
-24.8291	4.37694e-12	0.14	0.21	0	0	0
-24.8047	4.37694e-12	0.14	0.21	0	0	0
-24.7803	4.37694e-12	0.14	0.21	0	0	0
-24.7559	4.37694e-12	0.14	0.21	0	0	0
-24.7314	4.37694e-12	0.14	0.21	0	0	0
-24.707	4.37694e-12	0.14	0.21	0	0	0
-24.6826	4.37694e-12	0.14	0.21	0	0	0
-24.6582	4.37694e-12	0.14	0.21	0	0	0
-24.6338	4.37694e-12	0.14	0.21	0	0	0
-24.6094	4.37694e-12	0.14	0.21	0	0	0
-24.585	4.37694e-12	0.14	0.21	0	0	0
-24.5605	4.37694e-12	0.14	0.21	0	0	0
-24.5361	4.37694e-12	0.14	0.21	0	0	0
-24.5117	4.37694e-12	0.14	0.21	0	0	0
-24.4873	4.37694e-12	0.14	0.21	0	0	0
-24.4629	4.37694e-12	0.14	0.21	0	0	0
-24.4385	4.37694e-12	0.14	0.21	0	0	0
-24.4141	4.37694e-12	0.14	0.21	0	0	0
-24.3896	4.37694e-12	0.14	0.21	0	0	0
-24.3652	4.37694e-12	0.14	0.21	0	0	0
-24.3408	4.37694e-12	0.14	0.21	0	0	0
-24.3164	4.37694e-12	0.14	0.21	0	0	0
-24.292	4.37694e-12	0.14	0.21	0	0	0
-24.2676	4.37694e-12	0.14	0.21	0	0	0
-24.2432	4.37694e-12	0.14	0.21	0	0	0
-24.2188	4.37694e-12	0.14	0.21	0	0	0
-24.1943	4.37694e-12	0.14	0.21	0	0	0
-24.1699	4.37694e-12	0.14	0.21	0	0	0
-24.1455	4.37694e-12	0.14	0.21	0	0	0
-24.1211	4.37694e-12	0.14	0.21	0	0	0
-24.0967	4.37694e-12	0.14	0.21	0	0	0
-24.0723	4.37694e-12	0.14	0.21	0	0	0
-24.0479	4.37694e-12	0.14	0.21	0	0	0
-24.0234	4.37694e-12	0.14	0.21	0	0	0
-23.999	4.37694e-12	0.14	0.21	0	0	0
-23.9746	4.37694e-12	0.14	0.21	0	0	0
-23.9502	4.37694e-12	0.14	0.21	0	0	0
-23.9258	4.37694e-12	0.14	0.21	0	0	0
-23.9014	4.37694e-12	0.14	0.21	0	0	0
-23.877	4.37694e-12	0.14	0.21	0	0	0
-23.8525	4.37694e-12	0.14	0.21	0	0	0
-23.8281	4.37694e-12	0.14	0.21	0	0	0
-23.8037	4.37694e-12	0.14	0.21	0	0	0
-23.7793	4.37694e-12	0.14	0.21	0	0	0
-23.7549	4.37694e-12	0.14	0.21	0	0	0
-23.7305	4.37694e-12	0.14	0.21	0	0	0
-23.7061	4.37694e-12	0.14	0.21	0	0	0
-23.6816	4.37694e-12	0.14	0.21	0	0	0
-23.6572	4.37694e-12	0.14	0.21	0	0	0
-23.6328	4.37694e-12	0.14	0.21	0	0	0
-23.6084	4.37694e-12	0.14	0.21	0	0	0
-23.584	4.37694e-12	0.14	0.21	0	0	0
-23.5596	4.37694e-12	0.14	0.21	0	0	0
-23.5352	4.37694e-12	0.14	0.21	0	0	0
-23.5107	4.37694e-12	0.14	0.21	0	0	0
-23.4863	4.37694e-12	0.14	0.21	0	0	0
-23.4619	4.37694e-12	0.14	0.21	0	0	0
-23.4375	4.37694e-12	0.14	0.21	0	0	0
-23.4131	4.37694e-12	0.14	0.21	0	0	0
-23.3887	4.37694e-12	0.14	0.21	0	0	0
-23.3643	4.37694e-12	0.14	0.21	0	0	0
-23.3398	4.37694e-12	0.14	0.21	0	0	0
-23.3154	4.37694e-12	0.14	0.21	0	0	0
-23.291	4.37694e-12	0.14	0.21	0	0	0
-23.2666	4.37694e-12	0.14	0.21	0	0	0
-23.2422	4.37694e-12	0.14	0.21	0	0	0
-23.2178	4.37694e-12	0.14	0.21	0	0	0
-23.1934	4.37694e-12	0.14	0.21	0	0	0
-23.1689	4.37694e-12	0.14	0.21	0	0	0
-23.1445	4.37694e-12	0.14	0.21	0	0	0
-23.1201	4.37694e-12	0.14	0.21	0	0	0
-23.0957	4.37694e-12	0.14	0.21	0	0	0
-23.0713	4.37694e-12	0.14	0.21	0	0	0
-23.0469	4.37694e-12	0.14	0.21	0	0	0
-23.0225	4.37694e-12	0.14	0.21	0	0	0
-22.998	4.37694e-12	0.14	0.21	0	0	0
-22.9736	4.37694e-12	0.14	0.21	0	0	0
-22.9492	4.37694e-12	0.14	0.21	0	0	0
-22.9248	4.37694e-12	0.14	0.21	0	0	0
-22.9004	4.37694e-12	0.14	0.21	0	0	0
-22.876	4.37694e-12	0.14	0.21	0	0	0
-22.8516	4.37694e-12	0.14	0.21	0	0	0
-22.8271	4.37694e-12	0.14	0.21	0	0	0
-22.8027	4.37694e-12	0.14	0.21	0	0	0
-22.7783	4.37694e-12	0.14	0.21	0	0	0
-22.7539	4.37694e-12	0.14	0.21	0	0	0
-22.7295	4.37694e-12	0.14	0.21	0	0	0
-22.7051	4.37694e-12	0.14	0.21	0	0	0
-22.6807	4.37694e-12	0.14	0.21	0	0	0
-22.6562	4.37694e-12	0.14	0.21	0	0	0
-22.6318	4.37694e-12	0.14	0.21	0	0	0
-22.6074	4.37694e-12	0.14	0.21	0	0	0
-22.583	4.37694e-12	0.14	0.21	0	0	0
-22.5586	4.37694e-12	0.14	0.21	0	0	0
-22.5342	4.37694e-12	0.14	0.21	0	0	0
-22.5098	4.37694e-12	0.14	0.21	0	0	0
-22.4854	4.37694e-12	0.14	0.21	0	0	0
-22.4609	4.37694e-12	0.14	0.21	0	0	0
-22.4365	4.37694e-12	0.14	0.21	0	0	0
-22.4121	4.37694e-12	0.14	0.21	0	0	0
-22.3877	4.37694e-12	0.14	0.21	0	0	0
-22.3633	4.37694e-12	0.14	0.21	0	0	0
-22.3389	4.37694e-12	0.14	0.21	0	0	0
-22.3145	4.37694e-12	0.14	0.21	0	0	0
-22.29	4.37694e-12	0.14	0.21	0	0	0
-22.2656	4.37694e-12	0.14	0.21	0	0	0
-22.2412	4.37694e-12	0.14	0.21	0	0	0
-22.2168	4.37694e-12	0.14	0.21	0	0	0
-22.1924	4.37694e-12	0.14	0.21	0	0	0
-22.168	4.37694e-12	0.14	0.21	0	0	0
-22.1436	4.37694e-12	0.14	0.21	0	0	0
-22.1191	4.37694e-12	0.14	0.21	0	0	0
-22.0947	4.37694e-12	0.14	0.21	0	0	0
-22.0703	4.37694e-12	0.14	0.21	0	0	0
-22.0459	4.37694e-12	0.14	0.21	0	0	0
-22.0215	4.37694e-12	0.14	0.21	0	0	0
-21.9971	4.37694e-12	0.14	0.21	0	0	0
-21.9727	4.37694e-12	0.14	0.21	0	0	0
-21.9482	4.37694e-12	0.14	0.21	0	0	0
-21.9238	4.37694e-12	0.14	0.21	0	0	0
-21.8994	4.37694e-12	0.14	0.21	0	0	0
-21.875	4.37694e-12	0.14	0.21	0	0	0
-21.8506	4.37694e-12	0.14	0.21	0	0	0
-21.8262	4.37694e-12	0.14	0.21	0	0	0
-21.8018	4.37694e-12	0.14	0.21	0	0	0
-21.7773	4.37694e-12	0.14	0.21	0	0	0
-21.7529	4.37694e-12	0.14	0.21	0	0	0
-21.7285	4.37694e-12	0.14	0.21	0	0	0
-21.7041	4.37694e-12	0.14	0.21	0	0	0
-21.6797	4.37694e-12	0.14	0.21	0	0	0
-21.6553	4.37694e-12	0.14	0.21	0	0	0
-21.6309	4.37694e-12	0.14	0.21	0	0	0
-21.6064	4.37694e-12	0.14	0.21	0	0	0
-21.582	4.37694e-12	0.14	0.21	0	0	0
-21.5576	4.37694e-12	0.14	0.21	0	0	0
-21.5332	4.37694e-12	0.14	0.21	0	0	0
-21.5088	4.37694e-12	0.14	0.21	0	0	0
-21.4844	4.37694e-12	0.14	0.21	0	0	0
-21.46	4.37694e-12	0.14	0.21	0	0	0
-21.4355	4.37694e-12	0.14	0.21	0	0	0
-21.4111	4.37694e-12	0.14	0.21	0	0	0
-21.3867	4.37694e-12	0.14	0.21	0	0	0
-21.3623	4.37694e-12	0.14	0.21	0	0	0
-21.3379	4.37694e-12	0.14	0.21	0	0	0
-21.3135	4.37694e-12	0.14	0.21	0	0	0
-21.2891	4.37694e-12	0.14	0.21	0	0	0
-21.2646	4.37694e-12	0.14	0.21	0	0	0
-21.2402	4.37694e-12	0.14	0.21	0	0	0
-21.2158	4.37694e-12	0.14	0.21	0	0	0
-21.1914	4.37694e-12	0.14	0.21	0	0	0
-21.167	4.37694e-12	0.14	0.21	0	0	0
-21.1426	4.37694e-12	0.14	0.21	0	0	0
-21.1182	4.37694e-12	0.14	0.21	0	0	0
-21.0938	4.37694e-12	0.14	0.21	0	0	0
-21.0693	4.37694e-12	0.14	0.21	0	0	0
-21.0449	4.37694e-12	0.14	0.21	0	0	0
-21.0205	4.37694e-12	0.14	0.21	0	0	0
-20.9961	4.37694e-12	0.14	0.21	0	0	0
-20.9717	4.37694e-12	0.14	0.21	0	0	0
-20.9473	4.37694e-12	0.14	0.21	0	0	0
-20.9229	4.37694e-12	0.14	0.21	0	0	0
-20.8984	4.37694e-12	0.14	0.21	0	0	0
-20.874	4.37694e-12	0.14	0.21	0	0	0
-20.8496	4.37694e-12	0.14	0.21	0	0	0
-20.8252	4.37694e-12	0.14	0.21	0	0	0
-20.8008	4.37694e-12	0.14	0.21	0	0	0
-20.7764	4.37694e-12	0.14	0.21	0	0	0
-20.752	4.37694e-12	0.14	0.21	0	0	0
-20.7275	4.37694e-12	0.14	0.21	0	0	0
-20.7031	4.37694e-12	0.14	0.21	0	0	0
-20.6787	4.37694e-12	0.14	0.21	0	0	0
-20.6543	4.37694e-12	0.14	0.21	0	0	0
-20.6299	4.37694e-12	0.14	0.21	0	0	0
-20.6055	4.37694e-12	0.14	0.21	0	0	0
