Tcrit	gMIX
1.1405	-5
1.1326	-4.99
1.1248	-4.98
1.117	-4.97
1.1093	-4.96
1.1016	-4.95
1.0939	-4.94
1.0862	-4.93
1.0786	-4.92
1.071	-4.91
1.0635	-4.9
1.056	-4.89
1.0485	-4.88
1.041	-4.87
1.0336	-4.86
1.0262	-4.85
1.0188	-4.84
1.0115	-4.83
1.0042	-4.82
0.99697	-4.81
0.98974	-4.8
0.98255	-4.79
0.97538	-4.78
0.96825	-4.77
0.96116	-4.76
0.95409	-4.75
0.94706	-4.74
0.94006	-4.73
0.93309	-4.72
0.92616	-4.71
0.91925	-4.7
0.91238	-4.69
0.90554	-4.68
0.89874	-4.67
0.89196	-4.66
0.88522	-4.65
0.87851	-4.64
0.87183	-4.63
0.86518	-4.62
0.85857	-4.61
0.85199	-4.6
0.84544	-4.59
0.83892	-4.58
0.83243	-4.57
0.82597	-4.56
0.81955	-4.55
0.81316	-4.54
0.8068	-4.53
0.80047	-4.52
0.79417	-4.51
0.78791	-4.5
0.78167	-4.49
0.77547	-4.48
0.7693	-4.47
0.76316	-4.46
0.75705	-4.45
0.75097	-4.44
0.74492	-4.43
0.73891	-4.42
0.73293	-4.41
0.72697	-4.4
0.72105	-4.39
0.71516	-4.38
0.7093	-4.37
0.70347	-4.36
0.69767	-4.35
0.69191	-4.34
0.68617	-4.33
0.68046	-4.32
0.67479	-4.31
0.66914	-4.3
0.66353	-4.29
0.65795	-4.28
0.65239	-4.27
0.64687	-4.26
0.64138	-4.25
0.63592	-4.24
0.63049	-4.23
0.62509	-4.22
0.61971	-4.21
0.61437	-4.2
0.60906	-4.19
0.60378	-4.18
0.59853	-4.17
0.59331	-4.16
0.58812	-4.15
0.58296	-4.14
0.57783	-4.13
0.57273	-4.12
0.56765	-4.11
0.56261	-4.1
0.5576	-4.09
0.55261	-4.08
0.54766	-4.07
0.54274	-4.06
0.53784	-4.05
0.53297	-4.04
0.52814	-4.03
0.52333	-4.02
0.51855	-4.01
0.5138	-4
0.50908	-3.99
0.50439	-3.98
0.49972	-3.97
0.49509	-3.96
0.49048	-3.95
0.4859	-3.94
0.48136	-3.93
0.47684	-3.92
0.47234	-3.91
0.46788	-3.9
0.46344	-3.89
0.45904	-3.88
0.45466	-3.87
0.45031	-3.86
0.44598	-3.85
0.44169	-3.84
0.43742	-3.83
0.43318	-3.82
0.42897	-3.81
0.42479	-3.8
0.42063	-3.79
0.4165	-3.78
0.4124	-3.77
0.40833	-3.76
0.40428	-3.75
0.40026	-3.74
0.39627	-3.73
0.3923	-3.72
0.38836	-3.71
0.38445	-3.7
0.38057	-3.69
0.37671	-3.68
0.37288	-3.67
0.36907	-3.66
0.36529	-3.65
0.36154	-3.64
0.35782	-3.63
0.35412	-3.62
0.35045	-3.61
0.3468	-3.6
0.34318	-3.59
0.33958	-3.58
0.33601	-3.57
0.33247	-3.56
0.32895	-3.55
0.32546	-3.54
0.322	-3.53
0.31856	-3.52
0.31514	-3.51
0.31175	-3.5
0.30839	-3.49
0.30505	-3.48
0.30173	-3.47
0.29844	-3.46
0.29518	-3.45
0.29194	-3.44
0.28872	-3.43
0.28553	-3.42
0.28237	-3.41
0.27923	-3.4
0.27611	-3.39
0.27302	-3.38
0.26995	-3.37
0.2669	-3.36
0.26388	-3.35
0.26089	-3.34
0.25791	-3.33
0.25497	-3.32
0.25204	-3.31
0.24914	-3.3
0.24626	-3.29
0.2434	-3.28
0.24057	-3.27
0.23776	-3.26
0.23498	-3.25
0.23222	-3.24
0.22948	-3.23
0.22676	-3.22
0.22407	-3.21
0.22139	-3.2
0.21874	-3.19
0.21612	-3.18
0.21351	-3.17
0.21093	-3.16
0.20837	-3.15
0.20583	-3.14
0.20332	-3.13
0.20082	-3.12
0.19835	-3.11
0.1959	-3.1
0.19347	-3.09
0.19106	-3.08
0.18868	-3.07
0.18631	-3.06
0.18397	-3.05
0.18164	-3.04
0.17934	-3.03
0.17706	-3.02
0.1748	-3.01
0.17256	-3
0.17034	-2.99
0.16814	-2.98
0.16596	-2.97
0.16381	-2.96
0.16167	-2.95
0.15955	-2.94
0.15745	-2.93
0.15537	-2.92
0.15331	-2.91
