k	momdis_zero	momdis_pin	momdis_thermal	momdis_gauss
-128.6796	-7.07008e-06	4.132595e-42	-2.663275e-06	0
-128.554	-7.07008e-06	4.534276e-42	-2.663275e-06	0
-128.4283	-7.07008e-06	4.974999e-42	-2.663275e-06	0
-128.3026	-7.07008e-06	5.45856e-42	-2.663275e-06	0
-128.177	-7.07008e-06	5.989123e-42	-2.663275e-06	0
-128.0513	-7.07008e-06	6.571255e-42	-2.663274e-06	0
-127.9257	-7.07008e-06	7.209969e-42	-2.663274e-06	0
-127.8	-7.07008e-06	7.910765e-42	-2.663274e-06	0
-127.6743	-7.07008e-06	8.679677e-42	-2.663273e-06	0
-127.5487	-7.07008e-06	9.523326e-42	-2.663273e-06	0
-127.423	-7.07008e-06	1.044898e-41	-2.663272e-06	0
-127.2973	-7.07008e-06	1.14646e-41	-2.663272e-06	0
-127.1717	-7.07008e-06	1.257894e-41	-2.663271e-06	0
-127.046	-7.07008e-06	1.380159e-41	-2.66327e-06	0
-126.9203	-7.07008e-06	1.514307e-41	-2.663269e-06	0
-126.7947	-7.07008e-06	1.661495e-41	-2.663268e-06	0
-126.669	-7.07008e-06	1.82299e-41	-2.663268e-06	0
-126.5434	-7.07008e-06	2.000181e-41	-2.663267e-06	0
-126.4177	-7.07008e-06	2.194595e-41	-2.663266e-06	0
-126.292	-7.07008e-06	2.407906e-41	-2.663265e-06	0
-126.1664	-7.07008e-06	2.64195e-41	-2.663263e-06	0
-126.0407	-7.07008e-06	2.898743e-41	-2.663262e-06	0
-125.915	-7.07008e-06	3.180495e-41	-2.663261e-06	0
-125.7894	-7.07008e-06	3.489634e-41	-2.66326e-06	0
-125.6637	-7.07008e-06	3.82882e-41	-2.663258e-06	0
-125.538	-7.07008e-06	4.200974e-41	-2.663257e-06	0
-125.4124	-7.07008e-06	4.609301e-41	-2.663255e-06	0
-125.2867	-7.07008e-06	5.057317e-41	-2.663254e-06	0
-125.1611	-7.07008e-06	5.548879e-41	-2.663252e-06	0
-125.0354	-7.07008e-06	6.08822e-41	-2.66325e-06	0
-124.9097	-7.07008e-06	6.679984e-41	-2.663249e-06	0
