T	mompeak_num	mompeak_ana
0	0.18204	0.18454
0.0010443	0.18201	0.18454
0.0020886	0.182	0.18454
0.0031328	0.182	0.18454
0.0041771	0.182	0.18454
0.0052214	0.182	0.18454
0.0062657	0.182	0.18454
0.00731	0.182	0.18454
0.0083543	0.182	0.18454
0.0093985	0.182	0.18454
0.010443	0.182	0.18454
0.011487	0.182	0.18454
0.012531	0.182	0.18454
0.013576	0.182	0.18454
0.01462	0.182	0.18454
0.015664	0.182	0.18454
0.016709	0.182	0.18454
0.017753	0.182	0.18454
0.018797	0.182	0.18454
0.019841	0.182	0.18454
0.020886	0.182	0.18454
0.02193	0.182	0.18454
0.022974	0.182	0.18454
0.024018	0.182	0.18454
0.025063	0.182	0.18454
0.026107	0.182	0.18454
0.027151	0.182	0.18454
0.028196	0.182	0.18454
0.02924	0.182	0.18454
0.030284	0.182	0.18454
0.031328	0.182	0.18454
0.032373	0.182	0.18454
0.033417	0.182	0.18454
0.034461	0.182	0.18454
0.035506	0.182	0.18454
0.03655	0.182	0.18454
0.037594	0.182	0.18454
0.038638	0.182	0.18454
0.039683	0.182	0.18454
0.040727	0.18201	0.18454
0.041771	0.18201	0.18454
0.042816	0.18201	0.18454
0.04386	0.18201	0.18454
0.044904	0.18201	0.18454
0.045948	0.18202	0.18454
0.046993	0.18202	0.18454
0.048037	0.18203	0.18455
0.049081	0.18203	0.18455
0.050126	0.18204	0.18455
0.05117	0.18205	0.18455
0.052214	0.18206	0.18455
0.053258	0.18207	0.18456
0.054303	0.18208	0.18456
0.055347	0.18209	0.18457
0.056391	0.18211	0.18457
0.057436	0.18213	0.18458
0.05848	0.18215	0.18458
0.059524	0.18218	0.18459
0.060568	0.1822	0.1846
0.061613	0.18223	0.1846
0.062657	0.18226	0.18461
0.063701	0.1823	0.18463
0.064745	0.18234	0.18464
0.06579	0.18238	0.18465
0.066834	0.18243	0.18466
0.067878	0.18248	0.18468
0.068923	0.18253	0.1847
0.069967	0.18259	0.18472
0.071011	0.18266	0.18474
0.072055	0.18272	0.18476
0.0731	0.1828	0.18478
0.074144	0.18288	0.18481
0.075188	0.18296	0.18484
0.076233	0.18305	0.18487
0.077277	0.18314	0.1849
0.078321	0.18324	0.18494
0.079365	0.18335	0.18497
0.08041	0.18346	0.18501
0.081454	0.18358	0.18505
0.082498	0.18371	0.1851
0.083543	0.18384	0.18515
0.084587	0.18398	0.1852
0.085631	0.18413	0.18525
0.086675	0.18428	0.18531
0.08772	0.18444	0.18537
0.088764	0.18461	0.18543
0.089808	0.18478	0.18549
0.090853	0.18497	0.18556
0.091897	0.18516	0.18564
0.092941	0.18536	0.18571
0.093985	0.18557	0.18579
0.09503	0.18578	0.18588
0.096074	0.18601	0.18597
0.097118	0.18624	0.18606
0.098162	0.18649	0.18616
0.099207	0.18674	0.18626
0.10025	0.187	0.18636
0.1013	0.18728	0.18648
0.10234	0.18756	0.18659
0.10338	0.18785	0.18671
0.10443	0.18816	0.18684
0.10547	0.18847	0.18697
0.10652	0.18879	0.18711
0.10756	0.18913	0.18725
0.10861	0.18948	0.1874
0.10965	0.18984	0.18756
0.11069	0.19021	0.18772
0.11174	0.19059	0.18788
0.11278	0.19099	0.18806
0.11383	0.1914	0.18824
0.11487	0.19182	0.18843
0.11592	0.19226	0.18863
0.11696	0.19271	0.18883
0.118	0.19318	0.18904
0.11905	0.19366	0.18926
0.12009	0.19415	0.18949
0.12114	0.19467	0.18972
0.12218	0.19519	0.18997
0.12323	0.19574	0.19023
0.12427	0.1963	0.19049
0.12531	0.19689	0.19077
0.12636	0.19749	0.19106
0.1274	0.19811	0.19135
0.12845	0.19875	0.19166
0.12949	0.19942	0.19199
0.13054	0.2001	0.19232
0.13158	0.20082	0.19267
0.13262	0.20155	0.19303
0.13367	0.20231	0.19341
0.13471	0.2031	0.1938
0.13576	0.20392	0.19421
0.1368	0.20477	0.19464
0.13785	0.20566	0.19508
0.13889	0.20657	0.19555
0.13993	0.20753	0.19604
0.14098	0.20853	0.19654
0.14202	0.20957	0.19707
0.14307	0.21065	0.19762
0.14411	0.21179	0.19821
0.14516	0.21299	0.19882
0.1462	0.21424	0.19946
0.14724	0.21557	0.20013
0.14829	0.21697	0.20084
0.14933	0.21846	0.20159
0.15038	0.22005	0.20237
0.15142	0.22175	0.20322
0.15247	0.22359	0.2041
0.15351	0.21979	0.20506
0.15455	0.22021	0.20606
0.1556	0.22066	0.20715
0.15664	0.22115	0.2083
0.15769	0.22167	0.20955
0.15873	0.22224	0.21092
0.15978	0.22286	0.2124
0.16082	0.22353	0.21403
0.16186	0.22426	0.21583
0.16291	0.22505	0.21784
0.16395	0.22591	0.22015
0.165	0.22686	0.22281
0.16604	0.22789	0.22599
0.16709	0.22904	0.22994
0.16813	0.23032	0.2352
0.16917	0.23176	0.24357
0.17022	0.2334	0.38975
0.17126	0.23532	0.40235
0.17231	0.23764	0.41287
0.17335	0.24061	0.42196
0.1744	0.23969	0.43015
0.17544	0.24006	0.43762
0.17648	0.24048	0.44459
0.17753	0.24098	0.45112
0.17857	0.24154	0.45724
0.17962	0.24219	0.46299
0.18066	0.24296	0.46854
0.18171	0.24386	0.47391
0.18275	0.24494	0.47896
0.18379	0.24628	0.4839
0.18484	0.24804	0.48866
0.18588	0.25065	0.49326
0.18693	0.27896	0.49771
0.18797	0.27841	0.50202
0.18902	0.27788	0.50622
0.19006	0.27735	0.51029
0.1911	0.27684	0.51435
0.19215	0.27634	0.51822
0.19319	0.27585	0.522
0.19424	0.27537	0.52579
0.19528	0.27491	0.5294
0.19632	0.27446	0.53305
0.19737	0.27403	0.5366
0.19841	0.27361	0.54
0.19946	0.27321	0.54343
0.2005	0.27284	0.5467
0.20155	0.27248	0.55001
0.20259	0.27215	0.55326
0.20363	0.27186	0.55638
0.20468	0.2716	0.55953
0.20572	0.27138	0.56263
0.20677	0.27124	0.5656
0.20781	0.27118	0.56862
0.20886	0.2713	0.57159
0.2099	0.27192	0.57452
0.21094	0.28558	0.57732
0.21199	0.28486	0.58018
0.21303	0.28415	0.583
0.21408	0.28344	0.58578
0.21512	0.28274	0.58853
0.21617	0.28204	0.59116
0.21721	0.28134	0.59385
0.21825	0.28066	0.59651
0.2193	0.27997	0.59913
0.22034	0.2793	0.60173
0.22139	0.27862	0.6043
0.22243	0.27795	0.60675
0.22348	0.27729	0.60928
0.22452	0.27663	0.61177
0.22556	0.27598	0.61424
0.22661	0.27533	0.61668
0.22765	0.27468	0.6191
0.2287	0.27404	0.6215
0.22974	0.2734	0.62379
0.23079	0.27277	0.62615
0.23183	0.27214	0.62849
0.23287	0.27152	0.6308
0.23392	0.2709	0.6331
0.23496	0.27029	0.63537
0.23601	0.26968	0.63763
0.23705	0.26907	0.63986
0.2381	0.26847	0.64208
0.23914	0.26787	0.6442
0.24018	0.26728	0.64639
0.24123	0.26668	0.64856
0.24227	0.2661	0.65071
0.24332	0.26552	0.65285
0.24436	0.26494	0.65497
0.24541	0.26436	0.65707
0.24645	0.26379	0.65916
0.24749	0.26322	0.66124
0.24854	0.26266	0.6633
0.24958	0.2621	0.66534
0.25063	0.26154	0.66737
0.25167	0.26099	0.66931
0.25272	0.26044	0.67132
0.25376	0.25989	0.67331
0.2548	0.25935	0.67529
0.25585	0.25881	0.67726
0.25689	0.25827	0.67922
0.25794	0.25774	0.68116
0.25898	0.25721	0.68309
0.26003	0.25668	0.68501
0.26107	0.25616	0.68692
0.26211	0.25564	0.68881
0.26316	0.25512	0.69069
0.2642	0.25461	0.69257
0.26525	0.2541	0.69443
0.26629	0.25359	0.69628
0.26734	0.25308	0.69804
0.26838	0.25258	0.69988
0.26942	0.25208	0.7017
0.27047	0.25159	0.70351
0.27151	0.25109	0.70532
0.27256	0.2506	0.70711
0.2736	0.25012	0.7089
0.27465	0.24963	0.71067
0.27569	0.24915	0.71244
0.27673	0.24867	0.71419
0.27778	0.24819	0.71594
0.27882	0.24772	0.71768
0.27987	0.24725	0.71941
0.28091	0.24678	0.72113
0.28196	0.24632	0.72284
0.283	0.24585	0.72454
0.28404	0.24539	0.72624
0.28509	0.24494	0.72793
0.28613	0.24448	0.7296
0.28718	0.24403	0.73128
0.28822	0.24358	0.73294
0.28927	0.24313	0.7346
0.29031	0.24269	0.73617
0.29135	0.24224	0.73782
0.2924	0.2418	0.73945
0.29344	0.24136	0.74108
0.29449	0.24093	0.74271
0.29553	0.2405	0.74432
0.29658	0.24006	0.74593
0.29762	0.23964	0.74753
0.29866	0.23921	0.74913
0.29971	0.23879	0.75071
0.30075	0.23836	0.75229
0.3018	0.23794	0.75387
0.30284	0.23753	0.75544
0.30389	0.23711	0.757
0.30493	0.2367	0.75855
