T	PN_num	PN_ana
0	1	1
0.0010443	1	1
0.0020886	1	1
0.0031328	1	1
0.0041771	1	1
0.0052214	1	1
0.0062657	1	1
0.00731	1	1
0.0083543	1	1
0.0093985	1	1
0.010443	1	1
0.011487	1	1
0.012531	1	1
0.013576	1	1
0.01462	1	1
0.015664	1	1
0.016709	1	1
0.017753	1	1
0.018797	1	1
0.019841	1	1
0.020886	1	1
0.02193	1	1
0.022974	1	1
0.024018	1	1
0.025063	1	1
0.026107	1	1
0.027151	1	1
0.028196	1	1
0.02924	1	1
0.030284	1	1
0.031328	1	1
0.032373	1	1
0.033417	1	1
0.034461	1	1
0.035506	1	1
0.03655	1	1
0.037594	1	1
0.038638	1	1
0.039683	1	1
0.040727	0.99999	0.99999
0.041771	0.99999	0.99999
0.042816	0.99999	0.99999
0.04386	0.99999	0.99999
0.044904	0.99998	0.99998
0.045948	0.99998	0.99998
0.046993	0.99997	0.99997
0.048037	0.99997	0.99997
0.049081	0.99995	0.99995
0.050126	0.99994	0.99994
0.05117	0.99993	0.99993
0.052214	0.99991	0.99991
0.053258	0.99989	0.99989
0.054303	0.99987	0.99987
0.055347	0.99985	0.99985
0.056391	0.99982	0.99982
0.057436	0.99979	0.99979
0.05848	0.99975	0.99975
0.059524	0.99971	0.99971
0.060568	0.99966	0.99966
0.061613	0.99961	0.99961
0.062657	0.99955	0.99955
0.063701	0.99948	0.99949
0.064745	0.99941	0.99941
0.06579	0.99933	0.99933
0.066834	0.99924	0.99925
0.067878	0.99915	0.99915
0.068923	0.99904	0.99905
0.069967	0.99893	0.99893
0.071011	0.99881	0.99881
0.072055	0.99866	0.99867
0.0731	0.99852	0.99853
0.074144	0.99836	0.99837
0.075188	0.99819	0.9982
0.076233	0.99801	0.99802
0.077277	0.99781	0.99783
0.078321	0.9976	0.99762
0.079365	0.99738	0.9974
0.08041	0.99714	0.99716
0.081454	0.99689	0.99691
0.082498	0.99662	0.99664
0.083543	0.99633	0.99635
0.084587	0.99602	0.99605
0.085631	0.9957	0.99573
0.086675	0.99536	0.9954
0.08772	0.995	0.99504
0.088764	0.99463	0.99467
0.089808	0.99423	0.99427
0.090853	0.99381	0.99386
0.091897	0.99336	0.99342
0.092941	0.9929	0.99297
0.093985	0.99241	0.99249
0.09503	0.9919	0.99198
0.096074	0.99137	0.99146
0.097118	0.99081	0.99091
0.098162	0.99022	0.99033
0.099207	0.98961	0.98973
0.10025	0.98897	0.98911
0.1013	0.9883	0.98844
0.10234	0.9876	0.98776
0.10338	0.98688	0.98704
0.10443	0.98612	0.9863
0.10547	0.98533	0.98553
0.10652	0.9845	0.98473
0.10756	0.98365	0.9839
0.10861	0.98276	0.98303
0.10965	0.98183	0.98213
0.11069	0.98087	0.98119
0.11174	0.97986	0.98022
0.11278	0.97882	0.97922
0.11383	0.97774	0.97817
0.11487	0.97662	0.97707
0.11592	0.97545	0.97595
0.11696	0.97424	0.97478
0.118	0.97298	0.97357
0.11905	0.97167	0.97232
0.12009	0.97031	0.97103
0.12114	0.96891	0.96968
0.12218	0.96744	0.96829
0.12323	0.96593	0.96685
0.12427	0.96435	0.96536
0.12531	0.96271	0.9638
0.12636	0.96101	0.9622
0.1274	0.95925	0.96054
0.12845	0.95742	0.95882
0.12949	0.95551	0.95705
0.13054	0.95353	0.95521
0.13158	0.95147	0.95331
0.13262	0.94933	0.95134
0.13367	0.94709	0.94926
0.13471	0.94477	0.94714
0.13576	0.94235	0.94494
0.1368	0.93982	0.94266
0.13785	0.93719	0.9403
0.13889	0.93443	0.93781
0.13993	0.93155	0.93526
0.14098	0.92854	0.93261
0.14202	0.92538	0.92986
0.14307	0.92206	0.92701
0.14411	0.91856	0.92399
0.14516	0.91488	0.92088
0.1462	0.911	0.91765
0.14724	0.90688	0.91428
0.14829	0.90251	0.91071
0.14933	0.89784	0.90702
0.15038	0.89284	0.90317
0.15142	0.88746	0.89905
0.15247	0.88164	0.8948
0.15351	0.83452	0.89026
0.15455	0.83267	0.88553
0.1556	0.83071	0.88048
0.15664	0.82863	0.87517
0.15769	0.82642	0.86946
0.15873	0.82408	0.86337
0.15978	0.82158	0.85682
0.16082	0.81892	0.84976
0.16186	0.81608	0.84208
0.16291	0.81303	0.83366
0.16395	0.80975	0.82424
0.165	0.80621	0.81364
0.16604	0.80236	0.80135
0.16709	0.79816	0.78657
0.16813	0.79352	0.76778
0.16917	0.78836	0.73976
0.17022	0.78252	0.4535
0.17126	0.77577	0.43894
0.17231	0.76771	0.42748
0.17335	0.75748	0.41806
0.1744	0.70607	0.40993
0.17544	0.70376	0.40279
0.17648	0.70127	0.39635
0.17753	0.69857	0.3905
0.17857	0.69563	0.38518
0.17962	0.69239	0.3803
0.18066	0.6888	0.37572
0.18171	0.68474	0.37139
0.18275	0.68008	0.36741
0.18379	0.67455	0.36359
0.18484	0.66762	0.35999
0.18588	0.65783	0.35659
0.18693	0.43873	0.35335
0.18797	0.43787	0.35027
0.18902	0.437	0.34732
0.19006	0.43611	0.34451
0.1911	0.4352	0.34175
0.19215	0.43427	0.33916
0.19319	0.43332	0.33667
0.19424	0.43234	0.33421
0.19528	0.43134	0.3319
0.19632	0.4303	0.3296
0.19737	0.42923	0.32739
0.19841	0.42811	0.3253
0.19946	0.42695	0.32322
0.2005	0.42573	0.32126
0.20155	0.42445	0.3193
0.20259	0.42308	0.3174
0.20363	0.42162	0.31561
0.20468	0.42004	0.31381
0.20572	0.41831	0.31206
0.20677	0.41635	0.3104
0.20781	0.41405	0.30873
0.20886	0.41114	0.30711
0.2099	0.40635	0.30553
0.21094	0.28123	0.30403
0.21199	0.2806	0.30251
0.21303	0.27997	0.30103
0.21408	0.27936	0.29959
0.21512	0.27875	0.29817
0.21617	0.27814	0.29683
