T	NTG1	NTG3	NTG5	NTG7	NTG9	NTG11
0	0.18178	0.18208	0.18205	0.18203	0.18203	0.18203
0.0010442	0.18172	0.18203	0.18202	0.18201	0.18201	0.182
0.0020884	0.18171	0.18201	0.18201	0.18201	0.182	0.182
0.0031327	0.1817	0.18201	0.18201	0.182	0.182	0.182
0.0041769	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.0052211	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.0062653	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.0073095	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.0083537	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.009398	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.010442	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.011486	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.012531	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.013575	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.014619	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.015663	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.016707	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.017752	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.018796	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.01984	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.020884	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.021929	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.022973	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.024017	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.025061	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.026105	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.02715	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.028194	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.029238	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.030282	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.031327	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.032371	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.033415	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.034459	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.035503	0.1817	0.18201	0.18201	0.182	0.182	0.18199
0.036548	0.1817	0.18201	0.18201	0.182	0.182	0.182
0.037592	0.1817	0.18201	0.18201	0.182	0.182	0.182
0.038636	0.1817	0.18201	0.18201	0.182	0.182	0.182
0.03968	0.1817	0.18201	0.18201	0.18201	0.182	0.182
0.040724	0.1817	0.18201	0.18201	0.18201	0.182	0.182
0.041769	0.1817	0.18201	0.18201	0.18201	0.182	0.182
0.042813	0.1817	0.18201	0.18201	0.18201	0.182	0.182
0.043857	0.1817	0.18202	0.18201	0.18201	0.18201	0.182
0.044901	0.1817	0.18202	0.18202	0.18201	0.18201	0.182
0.045946	0.1817	0.18202	0.18202	0.18202	0.18201	0.18201
