T	NTG1	NTG3	NTG5	NTG7	NTG9	NTG11
0	1	1	1	1	1	1
0.0010442	1	1	1	1	1	1
0.0020884	1	1	1	1	1	1
0.0031327	1	1	1	1	1	1
0.0041769	1	1	1	1	1	1
0.0052211	1	1	1	1	1	1
0.0062653	1	1	1	1	1	1
0.0073095	1	1	1	1	1	1
0.0083537	1	1	1	1	1	1
0.009398	1	1	1	1	1	1
0.010442	1	1	1	1	1	1
0.011486	1	1	1	1	1	1
0.012531	1	1	1	1	1	1
0.013575	1	1	1	1	1	1
0.014619	1	1	1	1	1	1
0.015663	1	1	1	1	1	1
0.016707	1	1	1	1	1	1
0.017752	1	1	1	1	1	1
0.018796	1	1	1	1	1	1
0.01984	1	1	1	1	1	1
0.020884	1	1	1	1	1	1
0.021929	1	1	1	1	1	1
0.022973	1	1	1	1	1	1
0.024017	1	1	1	1	1	1
0.025061	1	1	1	1	1	1
0.026105	1	1	1	1	1	1
0.02715	1	1	1	1	1	1
0.028194	1	1	1	1	1	1
0.029238	1	1	1	1	1	1
0.030282	1	1	1	1	1	1
0.031327	1	1	1	1	1	1
0.032371	1	1	1	1	1	1
0.033415	1	1	1	1	1	1
0.034459	1	1	1	1	1	1
0.035503	1	1	1	1	1	1
0.036548	1	1	1	1	1	1
0.037592	1	1	1	1	1	1
0.038636	1	1	1	1	1	1
0.03968	1	1	1	1	1	1
0.040724	1	0.99999	0.99999	0.99999	0.99999	0.99999
0.041769	1	0.99999	0.99999	0.99999	0.99999	0.99999
0.042813	0.99999	0.99999	0.99999	0.99999	0.99999	0.99999
0.043857	0.99999	0.99999	0.99999	0.99999	0.99999	0.99999
0.044901	0.99999	0.99998	0.99998	0.99998	0.99998	0.99998
0.045946	0.99999	0.99998	0.99998	0.99998	0.99998	0.99998
0.04699	0.99998	0.99997	0.99997	0.99997	0.99997	0.99997
0.048034	0.99998	0.99997	0.99997	0.99997	0.99997	0.99997
0.049078	0.99997	0.99996	0.99996	0.99996	0.99996	0.99996
0.050122	0.99997	0.99995	0.99995	0.99995	0.99995	0.99995
0.051167	0.99996	0.99994	0.99994	0.99994	0.99994	0.99994
0.052211	0.99995	0.99993	0.99992	0.99992	0.99992	0.99993
0.053255	0.99994	0.99991	0.99991	0.99991	0.99991	0.99991
0.054299	0.99993	0.99989	0.99989	0.9999	0.9999	0.9999
0.055344	0.99991	0.99987	0.99987	0.99988	0.99988	0.99988
0.056388	0.99989	0.99985	0.99986	0.99986	0.99985	0.99985
0.057432	0.99987	0.99982	0.99983	0.99983	0.99983	0.99983
0.058476	0.99985	0.9998	0.9998	0.9998	0.9998	0.9998
0.05952	0.99983	0.99976	0.99977	0.99977	0.99977	0.99976
0.060565	0.9998	0.99973	0.99973	0.99973	0.99973	0.99973
0.061609	0.99977	0.9997	0.99969	0.99969	0.99969	0.99968
0.062653	0.99973	0.99966	0.99965	0.99964	0.99964	0.99964
0.063697	0.9997	0.99961	0.9996	0.99959	0.99959	0.99959
0.064741	0.99965	0.99955	0.99954	0.99953	0.99953	0.99953
0.065786	0.99961	0.99949	0.99948	0.99947	0.99947	0.99946
0.06683	0.99955	0.99943	0.99941	0.9994	0.9994	0.99939
0.067874	0.9995	0.99936	0.99933	0.99933	0.99932	0.99931
0.068918	0.99944	0.99928	0.99925	0.99924	0.99923	0.99923
0.069963	0.99937	0.99919	0.99916	0.99915	0.99915	0.99915
0.071007	0.9993	0.9991	0.99907	0.99905	0.99905	0.99905
0.072051	0.99922	0.99899	0.99896	0.99895	0.99894	0.99894
0.073095	0.99913	0.99888	0.99885	0.99884	0.99883	0.99882
0.074139	0.99899	0.99875	0.99873	0.99871	0.9987	0.9987
0.075184	0.99888	0.99863	0.9986	0.99858	0.99857	0.99856
0.076228	0.99877	0.9985	0.99846	0.99844	0.99843	0.99842
0.077272	0.99864	0.99836	0.99831	0.99829	0.99827	0.99827
0.078316	0.99851	0.99821	0.99815	0.99812	0.99811	0.9981
0.079361	0.99837	0.99805	0.99797	0.99795	0.99794	0.99793
0.080405	0.99822	0.99786	0.99779	0.99776	0.99775	0.99774
0.081449	0.99806	0.99767	0.9976	0.99757	0.99755	0.99754
0.082493	0.99789	0.99747	0.99739	0.99736	0.99734	0.99733
0.083537	0.99771	0.99725	0.99717	0.99714	0.99712	0.99711
0.084582	0.99752	0.99703	0.99694	0.9969	0.99688	0.99687
0.085626	0.99732	0.99679	0.99669	0.99665	0.99663	0.99662
0.08667	0.99711	0.99654	0.99643	0.99639	0.99637	0.99635
0.087714	0.99689	0.99627	0.99616	0.99612	0.99609	0.99608
0.088758	0.99665	0.99599	0.99587	0.99583	0.9958	0.99578
0.089803	0.9964	0.9957	0.99557	0.99552	0.99549	0.99547
0.090847	0.99614	0.99539	0.99525	0.9952	0.99517	0.99515
0.091891	0.99586	0.99506	0.99492	0.99486	0.99483	0.99481
0.092935	0.99557	0.99472	0.99457	0.99451	0.99447	0.99445
0.09398	0.99527	0.99437	0.9942	0.99414	0.9941	0.99408
0.095024	0.99495	0.99399	0.99382	0.99375	0.99371	0.99368
0.096068	0.99462	0.9936	0.99342	0.99334	0.9933	0.99327
0.097112	0.99428	0.9932	0.993	0.99292	0.99287	0.99285
0.098156	0.99391	0.99277	0.99256	0.99248	0.99243	0.9924
0.099201	0.99354	0.99233	0.99211	0.99201	0.99196	0.99193
0.10024	0.99314	0.99186	0.99163	0.99153	0.99148	0.99145
0.10129	0.99273	0.99138	0.99113	0.99103	0.99098	0.99094
0.10233	0.99231	0.99088	0.99062	0.99051	0.99045	0.99041
0.10338	0.99186	0.99036	0.99008	0.98997	0.9899	0.98987
0.10442	0.9914	0.98981	0.98952	0.9894	0.98934	0.9893
0.10547	0.99092	0.98925	0.98894	0.98882	0.98875	0.9887
0.10651	0.99043	0.98866	0.98834	0.98821	0.98813	0.98808
0.10755	0.98991	0.98806	0.98772	0.98757	0.98749	0.98744
0.1086	0.98937	0.98742	0.98707	0.98692	0.98683	0.98678
0.10964	0.98882	0.98677	0.98639	0.98624	0.98614	0.98609
0.11069	0.98824	0.98609	0.9857	0.98552	0.98543	0.98538
0.11173	0.98765	0.98539	0.98498	0.98479	0.9847	0.98464
0.11278	0.98703	0.98467	0.98423	0.98404	0.98394	0.98387
0.11382	0.9864	0.98391	0.98346	0.98325	0.98315	0.98308
0.11486	0.98574	0.98314	0.98266	0.98244	0.98233	0.98226
0.11591	0.98506	0.98233	0.98181	0.9816	0.98149	0.98141
0.11695	0.98435	0.9815	0.98096	0.98073	0.98061	0.98054
0.118	0.98363	0.98064	0.98007	0.97984	0.97971	0.97963
0.11904	0.98287	0.97975	0.97916	0.97891	0.97877	0.97869
0.12009	0.9821	0.97884	0.97821	0.97795	0.97781	0.97772
0.12113	0.9813	0.97789	0.97723	0.97696	0.97681	0.97672
0.12217	0.98048	0.97691	0.97622	0.97594	0.97578	0.97569
0.12322	0.97963	0.9759	0.97518	0.97488	0.97472	0.97462
0.12426	0.97875	0.97484	0.9741	0.97379	0.97362	0.97352
0.12531	0.97785	0.97376	0.97299	0.97267	0.97249	0.97238
0.12635	0.97692	0.97265	0.97185	0.97151	0.97132	0.97121
0.12739	0.97597	0.97151	0.97067	0.97031	0.97012	0.97
0.12844	0.97498	0.97033	0.96945	0.96908	0.96887	0.96875
0.12948	0.97397	0.96911	0.96819	0.9678	0.96759	0.96746
0.13053	0.97292	0.96785	0.96689	0.96649	0.96626	0.96612
0.13157	0.97185	0.96656	0.96555	0.96513	0.9649	0.96475
0.13262	0.97074	0.96523	0.96418	0.96373	0.96349	0.96333
0.13366	0.9696	0.96385	0.96275	0.96229	0.96203	0.96187
0.1347	0.96843	0.96243	0.96129	0.9608	0.96053	0.96037
0.13575	0.96723	0.96097	0.95977	0.95926	0.95899	0.95881
0.13679	0.96599	0.95947	0.95821	0.95768	0.95739	0.95721
0.13784	0.96466	0.95791	0.9566	0.95605	0.95574	0.95555
0.13888	0.96334	0.95631	0.95494	0.95436	0.95404	0.95384
0.13993	0.96199	0.95466	0.95323	0.95262	0.95229	0.95208
0.14097	0.9606	0.95296	0.95147	0.95083	0.95048	0.95026
0.14201	0.95918	0.95121	0.94964	0.94898	0.94861	0.94838
0.14306	0.95771	0.9494	0.94776	0.94707	0.94668	0.94644
0.1441	0.9562	0.94753	0.94582	0.94509	0.94469	0.94444
0.14515	0.95465	0.94561	0.94382	0.94305	0.94263	0.94237
0.14619	0.95305	0.94362	0.94175	0.94095	0.94051	0.94023
0.14723	0.95141	0.94157	0.93961	0.93877	0.93831	0.93802
0.14828	0.94972	0.93945	0.9374	0.93652	0.93604	0.93573
0.14932	0.94799	0.93727	0.93512	0.93419	0.93369	0.93336
0.15037	0.9462	0.93501	0.93275	0.93179	0.93125	0.93092
0.15141	0.94437	0.93268	0.93031	0.92929	0.92873	0.92838
0.15246	0.94248	0.93026	0.92778	0.92671	0.92612	0.92575
0.1535	0.94054	0.92777	0.92516	0.92403	0.92341	0.92302
0.15454	0.93853	0.92518	0.92244	0.92126	0.9206	0.92019
0.15559	0.93648	0.92251	0.91962	0.91838	0.91769	0.91725
0.15663	0.93436	0.91973	0.9167	0.91538	0.91466	0.9142
0.15768	0.93218	0.91686	0.91366	0.91227	0.9115	0.91101
0.15872	0.92993	0.91387	0.9105	0.90903	0.90822	0.9077
0.15977	0.92761	0.91077	0.90721	0.90566	0.90479	0.90425
0.16081	0.92523	0.90755	0.90378	0.90213	0.90122	0.90064
0.16185	0.92277	0.90419	0.9002	0.89845	0.89748	0.89686
0.1629	0.92023	0.9007	0.89646	0.8946	0.89356	0.8929
0.16394	0.91761	0.89705	0.89254	0.89056	0.88945	0.88875
0.16499	0.91491	0.89323	0.88843	0.88631	0.88513	0.88437
0.16603	0.91211	0.88924	0.88411	0.88184	0.88057	0.87975
0.16707	0.90923	0.88505	0.87956	0.83611	0.85266	0.8615
0.16812	0.90624	0.88065	0.68277	0.8344	0.85047	0.85892
0.16916	0.90315	0.72144	0.68205	0.83262	0.84818	0.85622
0.17021	0.89996	0.72068	0.68133	0.83075	0.84579	0.85338
0.17125	0.89664	0.7199	0.68058	0.8288	0.84327	0.8504
0.1723	0.89321	0.7191	0.67983	0.82675	0.84063	0.84726
0.17334	0.88964	0.71828	0.67906	0.8246	0.83785	0.84395
0.17438	0.88593	0.71743	0.67827	0.82235	0.83492	0.84045
0.17543	0.88207	0.71656	0.67747	0.81998	0.83183	0.83675
0.17647	0.87805	0.71567	0.67666	0.81749	0.82856	0.83281
0.17752	0.87385	0.71475	0.67582	0.81486	0.82509	0.82861
0.17856	0.86947	0.7138	0.67497	0.81209	0.82141	0.82411
0.17961	0.86488	0.71283	0.67409	0.80916	0.81748	0.81927
0.18065	0.86007	0.71182	0.6732	0.80605	0.81327	0.81403
0.18169	0.85501	0.71079	0.67228	0.80274	0.80874	0.80832
0.18274	0.84967	0.70972	0.67134	0.79921	0.80383	0.80201
0.18378	0.84403	0.70861	0.67038	0.79544	0.79849	0.78061
0.18483	0.83805	0.70746	0.66939	0.79137	0.79259	0.7776
0.18587	0.83168	0.70628	0.66837	0.78698	0.78601	0.7744
0.18691	0.82486	0.70505	0.66732	0.78219	0.75589	0.77096
0.18796	0.81753	0.70378	0.66624	0.77693	0.75327	0.76725
0.189	0.80958	0.70245	0.66512	0.77107	0.75048	0.76322
0.19005	0.8009	0.70108	0.66397	0.76444	0.74749	0.75883
0.19109	0.79132	0.69965	0.66278	0.75675	0.74428	0.75398
0.19214	0.78059	0.69816	0.66155	0.58079	0.74081	0.74855
0.19318	0.76837	0.6966	0.66028	0.58017	0.73704	0.74237
0.19422	0.75408	0.69498	0.65896	0.57919	0.7329	0.73513
0.19527	0.73675	0.69327	0.65758	0.5782	0.72831	0.58719
0.19631	0.71464	0.69148	0.65615	0.57719	0.72314	0.58616
0.19736	0.68503	0.6896	0.65466	0.57616	0.71718	0.5851
0.1984	0.65027	0.68762	0.65311	0.57512	0.71008	0.58402
0.19945	0.62313	0.68552	0.65148	0.57406	0.57951	0.58291
0.20049	0.60491	0.6833	0.64977	0.57298	0.5784	0.58177
0.20153	0.59174	0.68093	0.64797	0.57188	0.57726	0.58061
0.20258	0.58148	0.67839	0.64607	0.57075	0.57609	0.57941
0.20362	0.57307	0.67568	0.64405	0.56959	0.57489	0.57818
0.20467	0.56592	0.67272	0.64191	0.5684	0.57365	0.5769
0.20571	0.55969	0.66949	0.63962	0.56718	0.57237	0.57558
0.20676	0.55415	0.66591	0.63715	0.56593	0.57105	0.57422
0.2078	0.54916	0.6619	0.63447	0.56463	0.56968	0.5728
0.20884	0.5446	0.6573	0.63154	0.56329	0.56826	0.57131
0.20989	0.5404	0.65183	0.62828	0.5619	0.56678	0.56976
0.21093	0.5365	0.6449	0.62459	0.56045	0.56522	0.56813
0.21198	0.53286	0.63456	0.62029	0.55894	0.56359	0.56641
0.21302	0.52944	0.43132	0.61505	0.55735	0.56187	0.56459
0.21406	0.5262	0.43025	0.60798	0.55568	0.56004	0.56263
0.21511	0.52314	0.42922	0.54632	0.55392	0.55808	0.56053
0.21615	0.52022	0.4282	0.54472	0.55203	0.55596	0.55823
0.2172	0.51744	0.42719	0.54303	0.55	0.55365	0.55569
0.21824	0.51477	0.42619	0.54123	0.54779	0.55108	0.55282
0.21929	0.51221	0.4252	0.53931	0.54534	0.54816	0.54945
0.22033	0.50975	0.42422	0.53722	0.54257	0.54469	0.54523
0.22137	0.50737	0.42325	0.53492	0.53933	0.54024	0.53897
0.22242	0.50508	0.42229	0.53233	0.53524	0.53276	0.45624
0.22346	0.50286	0.42134	0.52932	0.52891	0.46932	0.45516
0.22451	0.50071	0.4204	0.52555	0.40381	0.46805	0.45404
0.22555	0.49862	0.41947	0.51987	0.403	0.46672	0.45288
0.2266	0.49659	0.41854	0.40694	0.40221	0.46532	0.45168
0.22764	0.49462	0.41763	0.40611	0.40142	0.46381	0.45042
0.22868	0.4927	0.41672	0.40529	0.40063	0.46217	0.44909
0.22973	0.49083	0.41582	0.40448	0.39985	0.46033	0.44766
0.23077	0.489	0.41493	0.40367	0.39908	0.45813	0.44608
0.23182	0.48721	0.41405	0.40287	0.39831	0.45506	0.44424
0.23286	0.48547	0.41317	0.40208	0.39755	0.39509	0.44185
0.2339	0.48376	0.4123	0.40129	0.39679	0.39434	0.39281
0.23495	0.48209	0.41144	0.40051	0.39603	0.3936	0.39207
0.23599	0.48045	0.41058	0.39973	0.39529	0.39287	0.39135
0.23704	0.47884	0.40973	0.39896	0.39454	0.39214	0.39063
0.23808	0.47727	0.40889	0.39819	0.3938	0.39142	0.38991
0.23913	0.47573	0.40806	0.39743	0.39307	0.3907	0.3892
0.24017	0.47421	0.40723	0.39667	0.39234	0.38998	0.3885
0.24121	0.47272	0.40641	0.39592	0.39161	0.38927	0.38779
0.24226	0.47125	0.40559	0.39517	0.39089	0.38856	0.3871
0.2433	0.46977	0.40478	0.39443	0.39018	0.38786	0.3864
0.24435	0.46835	0.40398	0.39369	0.38947	0.38716	0.38571
0.24539	0.46695	0.40318	0.39296	0.38876	0.38647	0.38503
0.24644	0.46558	0.40239	0.39223	0.38806	0.38578	0.38434
0.24748	0.46422	0.4016	0.39151	0.38736	0.38509	0.38367
0.24852	0.46289	0.40082	0.39079	0.38666	0.38441	0.38299
0.24957	0.46157	0.40004	0.39008	0.38597	0.38373	0.38232
0.25061	0.46028	0.39928	0.38937	0.38529	0.38306	0.38166
0.25166	0.459	0.39851	0.38866	0.3846	0.38239	0.38099
0.2527	0.45774	0.39775	0.38796	0.38393	0.38172	0.38033
0.25374	0.4565	0.397	0.38726	0.38325	0.38106	0.37968
0.25479	0.45527	0.39625	0.38657	0.38258	0.3804	0.37903
0.25583	0.45406	0.39551	0.38588	0.38191	0.37975	0.37838
0.25688	0.45286	0.39477	0.3852	0.38125	0.3791	0.37774
0.25792	0.45168	0.39403	0.38452	0.38059	0.37845	0.3771
0.25897	0.45051	0.3933	0.38384	0.37994	0.3778	0.37646
0.26001	0.44936	0.39258	0.38317	0.37929	0.37716	0.37582
0.26105	0.44821	0.39186	0.3825	0.37864	0.37653	0.37519
0.2621	0.44709	0.39114	0.38184	0.37799	0.37589	0.37457
0.26314	0.44597	0.39043	0.38118	0.37735	0.37526	0.37394
0.26419	0.44487	0.38973	0.38052	0.37672	0.37464	0.37332
0.26523	0.44378	0.38903	0.37987	0.37608	0.37401	0.37271
0.26628	0.4427	0.38833	0.37922	0.37545	0.37339	0.37209
0.26732	0.44164	0.38764	0.37858	0.37483	0.37278	0.37148
0.26836	0.44058	0.38695	0.37794	0.3742	0.37216	0.37088
0.26941	0.43954	0.38626	0.3773	0.37358	0.37155	0.37027
0.27045	0.4385	0.38558	0.37666	0.37297	0.37095	0.36967
0.2715	0.43748	0.38491	0.37603	0.37236	0.37034	0.36907
0.27254	0.43646	0.38423	0.37541	0.37175	0.36974	0.36848
0.27359	0.43546	0.38357	0.37478	0.37114	0.36915	0.36789
0.27463	0.43447	0.3829	0.37416	0.37054	0.36855	0.3673
0.27567	0.43348	0.38224	0.37354	0.36994	0.36796	0.36671
0.27672	0.4325	0.38159	0.37293	0.36934	0.36737	0.36613
0.27776	0.43154	0.38094	0.37232	0.36874	0.36679	0.36555
0.27881	0.43058	0.38029	0.37171	0.36815	0.3662	0.36497
0.27985	0.42963	0.37964	0.37111	0.36757	0.36563	0.3644
0.28089	0.42869	0.379	0.37051	0.36698	0.36505	0.36383
0.28194	0.42776	0.37836	0.36991	0.3664	0.36448	0.36326
0.28298	0.42684	0.37773	0.36932	0.36582	0.36391	0.3627
0.28403	0.42592	0.3771	0.36872	0.36524	0.36334	0.36214
0.28507	0.42501	0.37647	0.36814	0.36467	0.36277	0.36158
0.28612	0.42411	0.37585	0.36755	0.3641	0.36221	0.36102
0.28716	0.42322	0.37523	0.36697	0.36353	0.36165	0.36046
0.2882	0.42233	0.37461	0.36639	0.36297	0.3611	0.35991
0.28925	0.42145	0.374	0.36581	0.36241	0.36054	0.35936
0.29029	0.42058	0.37339	0.36524	0.36185	0.35999	0.35882
0.29134	0.41972	0.37278	0.36467	0.36129	0.35944	0.35828
0.29238	0.41886	0.37218	0.3641	0.36074	0.3589	0.35773
0.29343	0.41801	0.37158	0.36354	0.36019	0.35836	0.3572
0.29447	0.41717	0.37098	0.36298	0.35964	0.35782	0.35666
0.29551	0.41633	0.37039	0.36242	0.3591	0.35728	0.35613
0.29656	0.4155	0.3698	0.36186	0.35856	0.35674	0.3556
0.2976	0.41467	0.36921	0.36131	0.35802	0.35621	0.35507
0.29865	0.41386	0.36863	0.36076	0.35748	0.35568	0.35454
0.29969	0.41304	0.36805	0.36021	0.35694	0.35515	0.35402
0.30073	0.41224	0.36747	0.35966	0.35641	0.35463	0.3535
0.30178	0.41144	0.36689	0.35912	0.35588	0.3541	0.35298
0.30282	0.41064	0.36632	0.35858	0.35535	0.35358	0.35247
0.30387	0.40985	0.36575	0.35804	0.35483	0.35307	0.35195
0.30491	0.40907	0.36519	0.35751	0.35431	0.35255	0.35144
0.30596	0.40829	0.36462	0.35698	0.35379	0.35204	0.35093
0.307	0.40752	0.36406	0.35645	0.35327	0.35153	0.35043
0.30804	0.40675	0.36351	0.35592	0.35276	0.35102	0.34992
0.30909	0.40599	0.36295	0.3554	0.35224	0.35051	0.34942
0.31013	0.40523	0.3624	0.35487	0.35173	0.35001	0.34892
0.31118	0.40448	0.36185	0.35435	0.35123	0.34951	0.34842
0.31222	0.40374	0.3613	0.35384	0.35072	0.34901	0.34793
0.31327	0.403	0.36076	0.35332	0.35022	0.34851	0.34744
0.31431	0.40226	0.36022	0.35281	0.34972	0.34802	0.34695
0.31535	0.40153	0.35968	0.3523	0.34922	0.34753	0.34646
0.3164	0.4008	0.35914	0.35179	0.34872	0.34704	0.34597
0.31744	0.40008	0.35861	0.35129	0.34823	0.34655	0.34549
0.31849	0.39936	0.35808	0.35078	0.34774	0.34606	0.345
0.31953	0.39865	0.35755	0.35028	0.34725	0.34558	0.34452
0.32057	0.39794	0.35702	0.34978	0.34676	0.3451	0.34405
0.32162	0.39724	0.3565	0.34929	0.34627	0.34462	0.34357
0.32266	0.39654	0.35598	0.34879	0.34579	0.34414	0.3431
0.32371	0.39584	0.35546	0.3483	0.34531	0.34367	0.34263
0.32475	0.39515	0.35494	0.34781	0.34483	0.34319	0.34216
0.3258	0.39447	0.35443	0.34732	0.34435	0.34272	0.34169
0.32684	0.39378	0.35392	0.34684	0.34388	0.34225	0.34122
0.32788	0.39311	0.35341	0.34636	0.34341	0.34179	0.34076
0.32893	0.39243	0.3529	0.34588	0.34294	0.34132	0.3403
0.32997	0.39176	0.3524	0.3454	0.34247	0.34086	0.33984
0.33102	0.3911	0.3519	0.34492	0.342	0.3404	0.33938
0.33206	0.39044	0.3514	0.34445	0.34154	0.33994	0.33893
0.33311	0.38978	0.3509	0.34397	0.34107	0.33948	0.33847
0.33415	0.38912	0.35041	0.3435	0.34061	0.33902	0.33802
0.33519	0.38847	0.34992	0.34303	0.34015	0.33857	0.33757
0.33624	0.38783	0.34942	0.34257	0.3397	0.33812	0.33712
0.33728	0.38718	0.34894	0.3421	0.33924	0.33767	0.33668
0.33833	0.38654	0.34845	0.34164	0.33879	0.33722	0.33623
0.33937	0.38591	0.34797	0.34118	0.33834	0.33678	0.33579
0.34041	0.38528	0.34748	0.34072	0.33789	0.33633	0.33535
0.34146	0.38465	0.34701	0.34027	0.33744	0.33589	0.33491
0.3425	0.38403	0.34653	0.33981	0.337	0.33545	0.33447
0.34355	0.38341	0.34605	0.33936	0.33655	0.33501	0.33404
0.34459	0.38279	0.34558	0.33891	0.33611	0.33458	0.3336
0.34564	0.38217	0.34511	0.33846	0.33567	0.33414	0.33317
0.34668	0.38156	0.34464	0.33801	0.33524	0.33371	0.33274
0.34772	0.38095	0.34417	0.33757	0.3348	0.33328	0.33231
0.34877	0.38035	0.34371	0.33712	0.33436	0.33285	0.33189
0.34981	0.37975	0.34324	0.33668	0.33393	0.33242	0.33146
0.35086	0.37915	0.34278	0.33624	0.3335	0.33199	0.33104
0.3519	0.37856	0.34232	0.3358	0.33307	0.33157	0.33062
0.35295	0.37796	0.34187	0.33537	0.33265	0.33115	0.3302
0.35399	0.37738	0.34141	0.33493	0.33222	0.33073	0.32978
0.35503	0.37679	0.34096	0.3345	0.3318	0.33031	0.32936
0.35608	0.37621	0.34051	0.33407	0.33137	0.32989	0.32895
0.35712	0.37563	0.34006	0.33364	0.33095	0.32947	0.32854
0.35817	0.37505	0.33961	0.33322	0.33053	0.32906	0.32813
0.35921	0.37448	0.33916	0.33279	0.33012	0.32865	0.32772
0.36026	0.37391	0.33872	0.33237	0.3297	0.32824	0.32731
0.3613	0.37334	0.33828	0.33194	0.32929	0.32783	0.3269
0.36234	0.37278	0.33784	0.33152	0.32888	0.32742	0.3265
0.36339	0.37222	0.3374	0.33111	0.32846	0.32701	0.32609
0.36443	0.37166	0.33696	0.33069	0.32806	0.32661	0.32569
0.36548	0.3711	0.33653	0.33027	0.32765	0.3262	0.32529
0.36652	0.37055	0.3361	0.32986	0.32724	0.3258	0.32489
0.36756	0.37	0.33566	0.32945	0.32684	0.3254	0.32449
0.36861	0.36945	0.33523	0.32904	0.32644	0.325	0.3241
0.36965	0.3689	0.33481	0.32863	0.32603	0.32461	0.3237
0.3707	0.36836	0.33438	0.32822	0.32563	0.32421	0.32331
0.37174	0.36782	0.33396	0.32781	0.32524	0.32382	0.32292
0.37279	0.36728	0.33353	0.32741	0.32484	0.32342	0.32253
0.37383	0.36675	0.33311	0.32701	0.32444	0.32303	0.32214
0.37487	0.36622	0.33269	0.32661	0.32405	0.32264	0.32175
0.37592	0.36569	0.33228	0.32621	0.32366	0.32226	0.32137
0.37696	0.36516	0.33186	0.32581	0.32327	0.32187	0.32098
0.37801	0.36464	0.33145	0.32541	0.32288	0.32148	0.3206
0.37905	0.36411	0.33103	0.32502	0.32249	0.3211	0.32022
0.3801	0.3636	0.33062	0.32463	0.32211	0.32072	0.31984
0.38114	0.36308	0.33021	0.32423	0.32172	0.32034	0.31946
0.38218	0.36256	0.32981	0.32384	0.32134	0.31996	0.31909
0.38323	0.36205	0.3294	0.32345	0.32096	0.31958	0.31871
0.38427	0.36154	0.329	0.32307	0.32058	0.3192	0.31834
0.38532	0.36103	0.32859	0.32268	0.3202	0.31883	0.31796
0.38636	0.36053	0.32819	0.3223	0.31982	0.31845	0.31759
0.3874	0.36003	0.32779	0.32191	0.31944	0.31808	0.31722
0.38845	0.35952	0.32739	0.32153	0.31907	0.31771	0.31685
0.38949	0.35903	0.327	0.32115	0.31869	0.31734	0.31649
0.39054	0.35853	0.3266	0.32077	0.31832	0.31697	0.31612
