gm	a0	apin	variational	geometric
0.01	1	1	1	1
0.02	1	1	1	1
0.03	1	1	1	1
0.04	1.0001	1.0001	1.0001	1.0001
0.05	1.0003	1.0003	1.0003	1.0003
0.06	1.0007	1.0007	1.0007	1.0007
0.07	1.0014	1.0014	1.0014	1.0014
0.08	1.0027	1.0027	1.0027	1.0027
0.09	1.0053	1.0053	1.0053	1.0053
0.1	1.0104	1.0104	1.0104	1.0104
0.11	1.0226	1.0226	1.0226	1.0226
0.12	1.0682	1.0682	1.0682	1.0682
0.13	0.59611	0.59611	0.59611	0.59611
0.14	0.91922	0.91922	0.91922	0.91922
0.15	0.9444	0.9444	0.9444	0.9444
0.16	0.95235	0.95235	0.95235	0.95235
0.17	0.95535	0.95535	0.95535	0.95535
0.18	0.95618	0.95618	0.95618	0.95618
0.19	0.95583	0.95583	0.95583	0.95583
0.2	0.95475	0.95475	0.95475	0.95475
0.21	0.95315	0.95315	0.95315	0.95315
0.22	0.95116	0.95116	0.95116	0.95116
0.23	0.94886	0.94886	0.94886	0.94886
0.24	0.9463	0.9463	0.9463	0.9463
0.25	0.9435	0.9435	0.9435	0.9435
0.26	0.9405	0.9405	0.9405	0.9405
0.27	0.93731	0.93731	0.93731	0.93731
0.28	0.93393	0.93393	0.93393	0.93393
0.29	0.93039	0.93039	0.93039	0.93039
0.3	0.92668	0.92668	0.92668	0.92668
0.31	0.92281	0.92281	0.92281	0.92281
0.32	0.91879	0.91879	0.91879	0.91879
0.33	0.91462	0.91462	0.91462	0.91462
0.34	0.91031	0.91031	0.91031	0.91031
0.35	0.90584	0.90585	0.90584	0.90585
0.36	0.90124	0.90124	0.90124	0.90124
0.37	0.89649	0.8965	0.89649	0.8965
0.38	0.89161	0.89161	0.89161	0.89161
0.39	0.88658	0.88659	0.88659	0.88659
0.4	0.88142	0.88143	0.88142	0.88142
0.41	0.87612	0.87613	0.87613	0.87613
0.42	0.87069	0.8707	0.87069	0.87069
0.43	0.86512	0.86513	0.86512	0.86512
0.44	0.85942	0.85943	0.85942	0.85942
0.45	0.85358	0.85359	0.85358	0.85359
0.46	0.84761	0.84762	0.84762	0.84762
0.47	0.84151	0.84152	0.84151	0.84152
0.48	0.83528	0.83529	0.83528	0.83528
0.49	0.82891	0.82893	0.82892	0.82892
0.5	0.82241	0.82243	0.82242	0.82242
0.51	0.81579	0.81581	0.81579	0.8158
0.52	0.80903	0.80905	0.80904	0.80904
0.53	0.80215	0.80217	0.80215	0.80216
0.54	0.79513	0.79516	0.79514	0.79514
0.55	0.78799	0.78802	0.788	0.788
0.56	0.78072	0.78075	0.78073	0.78073
0.57	0.77332	0.77335	0.77333	0.77333
0.58	0.76579	0.76583	0.7658	0.76581
0.59	0.75814	0.75818	0.75815	0.75816
0.6	0.75036	0.75041	0.75038	0.75039
0.61	0.74246	0.74251	0.74248	0.74248
0.62	0.73443	0.73449	0.73445	0.73446
0.63	0.72628	0.72634	0.7263	0.72631
0.64	0.718	0.71807	0.71802	0.71804
0.65	0.70963	0.70971	0.70966	0.70967
0.66	0.70109	0.70117	0.70112	0.70113
0.67	0.69247	0.69257	0.6925	0.69252
0.68	0.68372	0.68382	0.68375	0.68377
0.69	0.67484	0.67495	0.67488	0.67489
0.7	0.66584	0.66596	0.66588	0.6659
0.71	0.65673	0.65686	0.65677	0.65679
0.72	0.6475	0.64764	0.64754	0.64757
0.73	0.63815	0.6383	0.6382	0.63823
0.74	0.62869	0.62886	0.62875	0.62877
0.75	0.61912	0.6193	0.61918	0.61921
0.76	0.60943	0.60963	0.6095	0.60953
0.77	0.59964	0.59985	0.59971	0.59975
0.78	0.58974	0.58997	0.58982	0.58985
0.79	0.57973	0.57998	0.57981	0.57986
0.8	0.56962	0.56989	0.56971	0.56975
0.81	0.55941	0.55969	0.5595	0.55955
0.82	0.54915	0.54946	0.54926	0.54931
0.83	0.53876	0.53909	0.53887	0.53893
0.84	0.52827	0.52862	0.52839	0.52845
0.85	0.51769	0.51807	0.51782	0.51788
0.86	0.50702	0.50743	0.50716	0.50722
0.87	0.49627	0.49671	0.49642	0.49649
0.88	0.48545	0.48591	0.4856	0.48568
0.89	0.47455	0.47504	0.47471	0.4748
0.9	0.46366	0.46418	0.46383	0.46392
0.91	0.45265	0.45321	0.45284	0.45293
0.92	0.44159	0.44219	0.44179	0.44189
0.93	0.43047	0.43111	0.43069	0.43079
0.94	0.41932	0.42	0.41955	0.41966
0.95	0.40814	0.40886	0.40838	0.4085
0.96	0.39694	0.39771	0.3972	0.39732
0.97	0.38582	0.38663	0.38609	0.38623
0.98	0.37464	0.3755	0.37492	0.37507
0.99	0.36346	0.36437	0.36376	0.36391
1	0.3523	0.35327	0.35262	0.35278
1.01	0.34118	0.3422	0.34152	0.34169
1.02	0.3301	0.33119	0.33046	0.33064
1.03	0.31909	0.32024	0.31947	0.31966
1.04	0.30816	0.30937	0.30856	0.30876
1.05	0.29731	0.29859	0.29774	0.29795
1.06	0.28669	0.28804	0.28714	0.28737
1.07	0.2761	0.27752	0.27657	0.27681
1.08	0.26563	0.26712	0.26613	0.26637
1.09	0.25529	0.25686	0.25582	0.25608
1.1	0.24511	0.24676	0.24566	0.24594
1.11	0.2351	0.23683	0.23568	0.23597
1.12	0.22526	0.22708	0.22587	0.22617
1.13	0.21561	0.21752	0.21625	0.21657
1.14	0.20616	0.20817	0.20683	0.20716
1.15	0.19692	0.19902	0.19762	0.19797
1.16	0.1879	0.19009	0.18863	0.189
1.17	0.1791	0.1814	0.17987	0.18025
1.18	0.17053	0.17294	0.17134	0.17174
1.19	0.16221	0.16471	0.16304	0.16346
1.2	0.15412	0.15674	0.155	0.15543
1.21	0.14628	0.14902	0.1472	0.14765
1.22	0.1387	0.14155	0.13965	0.14012
1.23	0.13137	0.13433	0.13236	0.13285
1.24	0.12429	0.12738	0.12532	0.12583
1.25	0.11746	0.12068	0.11854	0.11907
1.26	0.1109	0.11424	0.11201	0.11257
1.27	0.10458	0.10806	0.10574	0.10632
1.28	0.098522	0.10213	0.099727	0.10033
1.29	0.092711	0.096457	0.093962	0.094586
1.3	0.087146	0.091032	0.088444	0.089091
1.31	0.081823	0.085853	0.08317	0.083841
1.32	0.076739	0.080916	0.078134	0.07883
1.33	0.071888	0.076215	0.073333	0.074054
1.34	0.067265	0.071744	0.068761	0.069507
1.35	0.062863	0.067499	0.064412	0.065184
1.36	0.058678	0.063473	0.06028	0.061078
1.37	0.054701	0.059659	0.056358	0.057183
1.38	0.050927	0.056051	0.05264	0.053493
1.39	0.047349	0.052642	0.049118	0.049999
1.4	0.04396	0.049424	0.045787	0.046696
1.41	0.040752	0.046392	0.042638	0.043576
1.42	0.037718	0.043537	0.039664	0.040632
1.43	0.034852	0.040853	0.036859	0.037857
1.44	0.032145	0.038332	0.034214	0.035244
1.45	0.029592	0.035967	0.031724	0.032785
1.46	0.027184	0.033751	0.02938	0.030473
1.47	0.024915	0.031678	0.027177	0.028302
1.48	0.022777	0.02974	0.025107	0.026265
1.49	0.020766	0.027932	0.023163	0.024355
1.5	0.018873	0.026245	0.021339	0.022566
1.51	0.017092	0.024675	0.01963	0.020891
1.52	0.015418	0.023215	0.018028	0.019324
1.53	0.013845	0.02186	0.016527	0.01786
1.54	0.012366	0.020603	0.015123	0.016493
1.55	0.010976	0.019439	0.013809	0.015217
1.56	0.009671	0.018363	0.012581	0.014027
1.57	0.0084445	0.01737	0.011433	0.012917
1.58	0.0072922	0.016455	0.010361	0.011884
1.59	0.0062092	0.015614	0.0093589	0.010923
1.6	0.0051914	0.014842	0.0084238	0.010028
1.61	0.0042343	0.014134	0.0075509	0.0091968
1.62	0.0033342	0.013488	0.0067363	0.0084243
1.63	0.002487	0.0129	0.0059762	0.0077071
1.64	0.0016893	0.012365	0.005267	0.0070415
1.65	0.00093765	0.011881	0.0046054	0.0064243
1.66	0.00022878	0.011444	0.0039882	0.0058521
1.67	0.00044034	0.011051	0.0034122	0.0053219
1.68	0.0010726	0.0107	0.0028747	0.004831
1.69	0.0016707	0.010387	0.002373	0.0043766
1.7	0.0022371	0.010111	0.0019045	0.0039562
1.71	0.0027744	0.0098693	0.0014669	0.0035675
1.72	0.0032848	0.009659	0.0010578	0.0032081
1.73	0.0037703	0.0094785	0.00067531	0.0028761
1.74	0.0042329	0.0093257	0.00031733	0.0025694
1.75	0.0046747	0.009199	1.7965e-05	0.0022863
1.76	0.0050972	0.0090966	0.00033229	0.0020249
1.77	0.0055021	0.0090169	0.00062726	0.0017838
1.78	0.005891	0.0089585	0.00090438	0.0015613
1.79	0.0062653	0.0089199	0.0011651	0.0013562
1.8	0.0066263	0.0089	0.0014106	0.001167
1.81	0.0069753	0.0088975	0.0016423	0.00099265
1.82	0.0073134	0.0089113	0.0018612	0.00083192
1.83	0.0076417	0.0089405	0.0020684	0.00068379
1.84	0.0079613	0.008984	0.002265	0.00054727
1.85	0.008273	0.0090409	0.0024517	0.00042146
1.86	0.0085778	0.0091105	0.0026295	0.00030551
1.87	0.0088764	0.0091921	0.0027992	0.00019864
1.88	0.0091697	0.0092848	0.0029614	0.00010013
1.89	0.0094583	0.0093881	0.003117	9.2932e-06
1.9	0.0097428	0.0095013	0.0032664	7.4481e-05
1.91	0.010024	0.009624	0.0034103	0.00015177
1.92	0.010302	0.0097555	0.0035493	0.00022311
1.93	0.010578	0.0098955	0.0036838	0.00028898
1.94	0.010852	0.010044	0.0038143	0.00034984
1.95	0.011125	0.010199	0.0039412	0.00040612
1.96	0.011397	0.010362	0.004065	0.00045818
1.97	0.011668	0.010532	0.0041859	0.00050639
1.98	0.011939	0.010709	0.0043043	0.00055108
1.99	0.01221	0.010892	0.0044206	0.00059254
2	0.012481	0.011081	0.004535	0.00063105
2.01	0.012754	0.011276	0.0046477	0.00066686
2.02	0.013027	0.011476	0.004759	0.0007002
2.03	0.013301	0.011682	0.0048692	0.00073129
2.04	0.013577	0.011894	0.0049784	0.00076032
2.05	0.013854	0.012111	0.0050869	0.00078747
2.06	0.014133	0.012332	0.0051947	0.0008129
2.07	0.014414	0.012559	0.0053021	0.00083676
2.08	0.014698	0.012791	0.0054091	0.00085918
2.09	0.014983	0.013027	0.005516	0.0008803
2.1	0.015272	0.013268	0.0056229	0.00090021
2.11	0.015562	0.013513	0.0057298	0.00091903
2.12	0.015856	0.013763	0.0058368	0.00093684
2.13	0.016152	0.014017	0.0059441	0.00095373
2.14	0.016452	0.014276	0.0060518	0.00096978
2.15	0.016754	0.014539	0.0061598	0.00098505
2.16	0.017059	0.014807	0.0062684	0.00099962
2.17	0.017368	0.015078	0.0063775	0.0010135
2.18	0.01768	0.015354	0.0064871	0.0010268
2.19	0.017996	0.015634	0.0065975	0.0010395
2.2	0.018315	0.015919	0.0067085	0.0010518
2.21	0.018637	0.016207	0.0068203	0.0010635
2.22	0.018963	0.0165	0.0069329	0.0010747
2.23	0.019293	0.016797	0.0070463	0.0010856
2.24	0.019626	0.017098	0.0071606	0.001096
2.25	0.019964	0.017403	0.0072757	0.0011061
2.26	0.020305	0.017712	0.0073918	0.0011158
2.27	0.020649	0.018026	0.0075088	0.0011252
2.28	0.020998	0.018343	0.0076267	0.0011342
2.29	0.021351	0.018665	0.0077456	0.0011429
2.3	0.021708	0.018992	0.0078656	0.0011513
2.31	0.022068	0.019322	0.0079865	0.0011594
2.32	0.022433	0.019657	0.0081084	0.0011672
2.33	0.022802	0.019995	0.0082314	0.0011747
2.34	0.023175	0.020339	0.0083554	0.0011819
2.35	0.023552	0.020686	0.0084805	0.0011888
2.36	0.023934	0.021038	0.0086066	0.0011955
2.37	0.024319	0.021394	0.0087338	0.0012019
2.38	0.024709	0.021754	0.0088621	0.001208
2.39	0.025104	0.022119	0.0089914	0.0012138
2.4	0.025502	0.022489	0.0091219	0.0012193
2.41	0.025905	0.022862	0.0092534	0.0012245
2.42	0.026312	0.02324	0.009386	0.0012294
2.43	0.026724	0.023623	0.0095197	0.001234
2.44	0.02714	0.02401	0.0096544	0.0012383
2.45	0.02756	0.024402	0.0097903	0.0012423
2.46	0.027985	0.024798	0.0099272	0.001246
2.47	0.028415	0.025198	0.010065	0.0012493
2.48	0.028849	0.025604	0.010204	0.0012523
2.49	0.029287	0.026014	0.010345	0.001255
2.5	0.02973	0.026428	0.010486	0.0012573
2.51	0.030178	0.026847	0.010628	0.0012593
2.52	0.03063	0.027271	0.010772	0.0012609
2.53	0.031087	0.0277	0.010916	0.0012621
2.54	0.031548	0.028133	0.011062	0.0012629
2.55	0.032014	0.028571	0.011208	0.0012633
2.56	0.032485	0.029014	0.011356	0.0012634
2.57	0.032961	0.029462	0.011505	0.001263
2.58	0.033441	0.029914	0.011654	0.0012622
2.59	0.033926	0.030372	0.011805	0.0012609
2.6	0.034415	0.030834	0.011957	0.0012592
2.61	0.03491	0.031301	0.01211	0.001257
2.62	0.035409	0.031773	0.012264	0.0012544
2.63	0.035913	0.03225	0.012419	0.0012513
2.64	0.036422	0.032733	0.012574	0.0012477
2.65	0.036935	0.03322	0.012731	0.0012436
2.66	0.037454	0.033712	0.012889	0.001239
2.67	0.037977	0.034209	0.013048	0.0012339
2.68	0.038505	0.034711	0.013208	0.0012282
2.69	0.039039	0.035218	0.013369	0.001222
2.7	0.039577	0.035731	0.013531	0.0012153
2.71	0.04012	0.036248	0.013693	0.0012079
2.72	0.040668	0.036771	0.013857	0.0012
2.73	0.04122	0.037299	0.014021	0.0011915
2.74	0.041778	0.037832	0.014187	0.0011823
2.75	0.042341	0.03837	0.014353	0.0011726
2.76	0.042909	0.038913	0.014521	0.0011622
2.77	0.043482	0.039462	0.014689	0.0011512
2.78	0.04406	0.040016	0.014858	0.0011395
2.79	0.044642	0.040575	0.015028	0.0011272
2.8	0.04523	0.04114	0.015199	0.0011141
2.81	0.045823	0.04171	0.015371	0.0011004
2.82	0.046421	0.042285	0.015543	0.001086
2.83	0.047025	0.042866	0.015716	0.0010709
2.84	0.047633	0.043452	0.015891	0.001055
2.85	0.048246	0.044043	0.016066	0.0010384
2.86	0.048865	0.04464	0.016241	0.001021
2.87	0.049488	0.045242	0.016418	0.0010029
2.88	0.050117	0.04585	0.016595	0.00098393
2.89	0.050751	0.046463	0.016773	0.00096421
2.9	0.05139	0.047082	0.016952	0.00094369
2.91	0.052034	0.047706	0.017132	0.00092235
2.92	0.052683	0.048336	0.017312	0.00090017
2.93	0.053338	0.048971	0.017493	0.00087715
2.94	0.053998	0.049612	0.017675	0.00085327
2.95	0.054663	0.050258	0.017857	0.00082853
2.96	0.055333	0.05091	0.01804	0.0008029
2.97	0.056009	0.051567	0.018224	0.00077638
2.98	0.056689	0.05223	0.018409	0.00074895
2.99	0.057375	0.052898	0.018594	0.00072059
3	0.058066	0.053572	0.018779	0.00069131
3.01	0.058763	0.054252	0.018965	0.00066108
3.02	0.059464	0.054937	0.019152	0.00062989
3.03	0.060171	0.055628	0.01934	0.00059774
3.04	0.060884	0.056325	0.019528	0.00056459
3.05	0.061601	0.057027	0.019716	0.00053046
3.06	0.062324	0.057735	0.019905	0.00049532
3.07	0.063052	0.058448	0.020095	0.00045915
3.08	0.063786	0.059168	0.020285	0.00042196
3.09	0.064525	0.059892	0.020476	0.00038372
3.1	0.065269	0.060623	0.020667	0.00034443
3.11	0.066018	0.061359	0.020858	0.00030406
3.12	0.066773	0.062101	0.02105	0.00026262
3.13	0.067533	0.062848	0.021243	0.00022009
3.14	0.068298	0.063602	0.021436	0.00017645
3.15	0.069069	0.06436	0.021629	0.00013169
3.16	0.069845	0.065125	0.021823	8.5809e-05
3.17	0.070627	0.065895	0.022017	3.8787e-05
3.18	0.071414	0.066671	0.022211	9.385e-06
3.19	0.072206	0.067453	0.022406	5.8719e-05
3.2	0.073004	0.06824	0.022601	0.00010923
3.21	0.073807	0.069033	0.022797	0.00016092
3.22	0.074615	0.069832	0.022992	0.00021381
3.23	0.075429	0.070636	0.023188	0.0002679
3.24	0.076248	0.071446	0.023385	0.00032322
3.25	0.077072	0.072262	0.023581	0.00037976
3.26	0.077902	0.073084	0.023778	0.00043754
3.27	0.078738	0.073911	0.023975	0.00049657
3.28	0.079578	0.074744	0.024172	0.00055687
3.29	0.080424	0.075582	0.024369	0.00061843
3.3	0.081276	0.076426	0.024567	0.00068128
3.31	0.082133	0.077276	0.024765	0.00074541
3.32	0.082995	0.078132	0.024963	0.00081085
3.33	0.083863	0.078993	0.025161	0.0008776
3.34	0.084736	0.079859	0.025359	0.00094568
3.35	0.085614	0.080732	0.025557	0.0010151
3.36	0.086498	0.08161	0.025755	0.0010858
3.37	0.087388	0.082493	0.025954	0.0011579
3.38	0.088282	0.083382	0.026152	0.0012314
3.39	0.089183	0.084277	0.026351	0.0013062
3.4	0.090088	0.085178	0.026549	0.0013824
3.41	0.090999	0.086083	0.026748	0.00146
3.42	0.091916	0.086995	0.026946	0.001539
3.43	0.092837	0.087912	0.027145	0.0016194
3.44	0.093765	0.088835	0.027343	0.0017012
3.45	0.094697	0.089763	0.027542	0.0017844
3.46	0.095635	0.090696	0.02774	0.001869
3.47	0.096579	0.091635	0.027938	0.0019551
3.48	0.097528	0.09258	0.028136	0.0020426
3.49	0.098482	0.09353	0.028334	0.0021316
3.5	0.099442	0.094485	0.028532	0.0022221
3.51	0.10041	0.095446	0.02873	0.002314
3.52	0.10138	0.096412	0.028928	0.0024074
3.53	0.10235	0.097384	0.029125	0.0025022
3.54	0.10333	0.098361	0.029322	0.0025986
3.55	0.10432	0.099343	0.029519	0.0026965
3.56	0.10531	0.10033	0.029716	0.0027958
3.57	0.10631	0.10132	0.029912	0.0028967
3.58	0.10731	0.10232	0.030109	0.0029991
3.59	0.10832	0.10333	0.030305	0.003103
3.6	0.10934	0.10433	0.0305	0.0032084
3.61	0.11036	0.10535	0.030696	0.0033153
