gmix	NTG1	NTG3	NTG5	NTG7	NTG9	NTG11	model
0.01	1.10371	0.288731	0.163634	0.113933	0.0873393	0.0707949	1.25e-09
0.02	1.10375	0.288745	0.163642	0.113939	0.0873439	0.0707987	2e-08
0.03	1.10382	0.288768	0.163656	0.113949	0.0873515	0.0708049	1.0125e-07
0.04	1.10391	0.2888	0.163675	0.113963	0.0873622	0.0708136	3.2e-07
0.05	1.10403	0.288841	0.163699	0.11398	0.0873759	0.0708248	7.8125e-07
0.06	1.10418	0.288891	0.16373	0.114002	0.0873927	0.0708386	1.62e-06
0.07	1.10436	0.28895	0.163765	0.114027	0.0874125	0.0708549	3.00125e-06
0.08	1.10457	0.289019	0.163807	0.114057	0.0874355	0.0708737	5.12e-06
0.09	1.1048	0.289097	0.163853	0.11409	0.0874616	0.070895	8.20125e-06
0.1	1.10506	0.289184	0.163906	0.114128	0.0874908	0.0709189	1.25e-05
0.11	1.10534	0.289281	0.163964	0.114169	0.0875231	0.0709454	1.83012e-05
0.12	1.10566	0.289386	0.164028	0.114215	0.0875587	0.0709745	2.592e-05
0.13	1.106	0.289502	0.164097	0.114265	0.0875974	0.0710063	3.57012e-05
0.14	1.10637	0.289626	0.164172	0.114319	0.0876394	0.0710407	4.802e-05
0.15	1.10677	0.289761	0.164253	0.114377	0.0876846	0.0710778	6.32812e-05
0.16	1.10719	0.289904	0.16434	0.114439	0.0877332	0.0711175	8.192e-05
0.17	1.10765	0.290058	0.164433	0.114505	0.087785	0.0711601	0.000104401
0.18	1.10813	0.290221	0.164531	0.114576	0.0878403	0.0712054	0.00013122
0.19	1.10864	0.290394	0.164636	0.114651	0.0878989	0.0712535	0.000162901
0.2	1.10918	0.290577	0.164747	0.114731	0.087961	0.0713045	0.0002
0.21	1.10975	0.29077	0.164864	0.114815	0.0880267	0.0713584	0.000243101
0.22	1.11034	0.290973	0.164987	0.114903	0.0880959	0.0714152	0.000292819
0.23	1.11097	0.291186	0.165116	0.114996	0.0881687	0.0714751	0.000349801
0.24	1.11162	0.29141	0.165252	0.115094	0.0882451	0.0715379	0.000414719
0.25	1.1123	0.291644	0.165394	0.115197	0.0883253	0.0716039	0.00048828
0.26	1.11302	0.291888	0.165543	0.115304	0.0884093	0.071673	0.000571218
0.27	1.11376	0.292143	0.165698	0.115416	0.0884972	0.0717453	0.000664299
0.28	1.11453	0.292409	0.16586	0.115533	0.088589	0.0718209	0.000768316
0.29	1.11533	0.292685	0.166029	0.115655	0.0886849	0.0718999	0.000884097
0.3	1.11616	0.292973	0.166205	0.115782	0.0887848	0.0719823	0.00101249
0.31	1.11702	0.293272	0.166388	0.115915	0.0888889	0.0720681	0.00115439
0.32	1.11791	0.293582	0.166578	0.116053	0.0889972	0.0721575	0.00131071
0.33	1.11884	0.293904	0.166776	0.116196	0.0891099	0.0722506	0.00148239
0.34	1.11979	0.294237	0.166981	0.116345	0.0892271	0.0723474	0.0016704
0.35	1.12077	0.294582	0.167193	0.116499	0.0893488	0.0724481	0.00187576
0.36	1.12179	0.294939	0.167413	0.116659	0.0894753	0.0725526	0.00209949
0.37	1.12284	0.295309	0.167642	0.116826	0.0896064	0.0726612	0.00234267
0.38	1.12392	0.29569	0.167878	0.116998	0.0897425	0.072774	0.00260638
0.39	1.12503	0.296085	0.168122	0.117176	0.0898837	0.072891	0.00289175
0.4	1.12617	0.296492	0.168375	0.117361	0.0900299	0.0730123	0.00319994
0.41	1.12735	0.296912	0.168636	0.117553	0.0901815	0.0731382	0.00353213
0.42	1.12856	0.297345	0.168907	0.117751	0.0903385	0.0732687	0.00388953
0.43	1.1298	0.297792	0.169186	0.117955	0.0905012	0.073404	0.00427339
0.44	1.13108	0.298253	0.169474	0.118167	0.0906696	0.0735441	0.00468499
0.45	1.13239	0.298727	0.169772	0.118386	0.0908439	0.0736894	0.00512562
0.46	1.13374	0.299216	0.170079	0.118613	0.0910243	0.0738398	0.00559663
0.47	1.13512	0.29972	0.170396	0.118847	0.091211	0.0739957	0.00609938
0.48	1.13654	0.300238	0.170723	0.119089	0.0914043	0.0741571	0.00663526
0.49	1.13799	0.300772	0.171061	0.119339	0.0916042	0.0743244	0.00720569
0.5	1.13947	0.301321	0.171409	0.119598	0.091811	0.0744976	0.00781213
0.51	1.141	0.301886	0.171769	0.119865	0.092025	0.0746769	0.00845607
0.52	1.14256	0.302467	0.172139	0.12014	0.0922464	0.0748627	0.00913902
0.53	1.14416	0.303064	0.172521	0.120425	0.0924754	0.0750552	0.00986252
